Question,labels
TELL ME MORE ABOUT THAT WHEN YOU GOT HOME AND YOU SAID YOU PLAYED IN YOUR ROOM WAS IT STILL SORE,2
AND WHAT HAPPENS THEN,1
AND THEN WHAT HAPPENED,1
WHERE WAS CALLUM WHEN THIS WAS HAPPENING,2
OKAY REMEMBER I WASN'T THERE SO TELL ME EVERYTHING ABOUT SWIMMING IN THE SPA IN AS MUCH DETAIL AS YOU CAN START FROM THE BEGINNING,0
OKAY OKAY SO HE WAS TOUCHING ON THE OUTSIDE,2
YEAH JUST TELL ME A LITTLE BIT MORE ABOUT HIM,1
: WHAT DO YOU MEAN BY RUBBED THE OUTSIDE,2
YOU DO TWO DAYS WHAT DAYS DO YOU DO PE,2
: WHAT DID HE SAY TO YOU,2
: CAN YOU REMEMBER ANYTHING ELSE ABOUT THE LADY,2
WHAT HAPPENED THEN,1
OH OKAY CAN YOU TELL ME A LITTLE BIT ABOUT THE SPECIAL CUDDLE,2
TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
OKAY CAN YOU REMEMBER WHERE ON MUM'S FACE DAD HIT HER,2
YEAH WHAT CAN YOU TELL ME ABOUT IT,2
YEAH WHAT ELSE HAPPENED DESCRIBE TO ME MORE ABOUT THAT,1
AND WHOSE GARDEN IS IT,2
HM-HM WHAT HAPPENED THEN,1
: WHAT FLOOR DID YOU DROP THEM ON,2
YEAH SO YOU TOLD ME ABOUT THE BED BOUNCING UP AND DOWN AND YOU TOLD ME THAT IT WAS BOUNCING UP AND DOWN BECAUSE OF SOMEONE CAN YOU JUST TELL ME WHAT THEIR NAME WAS,2
WOULD YOU SAY AS LONG DO YOU KNOW WHAT A MINUTE IS,2
TELL ME WHAT YOU HAVE COME HERE TO TALK TO ME ABOUT TODAY,0
YOU TOLD ME BEFORE THAT THIS MAN WAS SMELLY HAD GREY HAIR WHAT ELSE CAN YOU REMEMBER ABOUT HOW THE MAN LOOKED,1
OKAY AND WHAT DO YOU LIKE ABOUT THAT GAME,2
WHEN JACK SQUEEZED IT OKAY AND ALAN HAS THIS HAPPENED ONE TIME OR MORE THAN ONE TIME,2
OKAY SO YOU KNOW THAT,2
WELL I WASN'T WITH YOU WHEN UNCLE GEORGE WAS RUDE TO YOU SO TELL ME EVERYTHING THAT HAPPENED AND WE'LL START FROM THE BEGINNING,0
HM-HM AND THEN WHAT ELSE HAPPENED,1
HOW OLD'S JAKE,2
AND THEN WHAT DOES HE SAY ABOUT THE DARE,2
IS HIS PRIVATE ATTACHED TO HIS BODY,2
: AND WHEN YOU LEFT THE TOILET WHERE DID THE MAN GO,2
NO SO JUST THE TWO TIMES,2
OKAY SO TELL ME EVERYTHING ABOUT STEPHEN,1
YEAH WHAT HAPPENED CAN YOU TELL ME ABOUT THAT,2
CAN YOU TELL ME MORE ABOUT THE PART WHERE DAD GRABBED YOU ON THE ARM,2
WHAT DID HE DO,2
OH OKAY WHEN YOU SAY TICKLING WHAT HAPPENS WHEN HE'S TICKLING WHAT DOES HE DO,2
OKAY DID DAD SAY ANYTHING TO MUM WHEN HE DID THAT,2
OKAY AND WHAT HAPPENED AFTER YOU LOOKED ON THE COMPUTER,2
OKAY YEAH DID YOU SPEAK TO ANYONE ABOUT THAT AFTER IT HAPPENED,2
NO OKAY AND DO YOU KNOW IF A WILLY IS SOMETIMES CALLED A DIFFERENT NAME,2
WHO ELSE WAS AT HOME,2
I HEARD SOMETHING HAPPENED WHEN YOU WERE AT JANET'S HOUSE LAST TIME,3
WHO DID YOU SHOW,2
AND WHAT ELSE HAPPENED,1
OKAY DID YOU WANT TO TELL YOUR MUM THEN,2
HM-HM SO TELL ME EVERYTHING THAT YOU CAN  TELL ME ABOUT YOUR NEIGHBOUR,1
OKAY AND CAN I JUST ASK WHEN YOU GOT INTO BED WHAT HAPPENED NEXT,1
APART FROM THE BAD MAN MUM WASN'T WITH YOU,2
OKAY ALL RIGHT NOW ALL RIGHT START AT THE BEGINNING TELL ME EXACTLY WHAT HE DOES WHEN YOU'RE IN THE TUNNEL,1
OKAY AND THEN YOU SAID HE WAS DOING SOMETHING YUCKY WITH IT TELL ME ABOUT THAT,1
ABOUT YOUR STEPDAD OKAY SO TELL ME ABOUT YOUR STEPDAD,1
OKAY SO TELL ME MORE ABOUT WHEN HE'S TICKLING YOUR MINI DESCRIBE TO ME EXACTLY WHAT HE'S DOING,2
OKAY SO CAN YOU TELL ME YOU SAID YOU HIT THE WALL WHICH WALL DID YOU HIT,2
OKAY SO WHO HIDES DO YOU HIDE OR DOES JACK HIDE OR DO YOU BOTH HIDE SOMETIMES,2
: SO WHAT WERE YOU DOING WHEN YOU WERE IN THE GARDEN WITH CALLUM,2
WHAT DID HE SQUEEZE IT WITH,2
OKAY AND THEN YOU WERE PLAYING WITH YOUR BARBIE BY YOURSELF AND WHAT'S THE NEXT THING THAT'S HAPPENED AFTER THAT,1
YEAH OKAY HOW DO YOU FEEL ABOUT THE MR TICKLE GAME,2
OKAY CAN YOU TELL ME WHAT HAPPENED THEN,2
OKAY SO CALLUM WOKE YOU UP WITH THE HARD THING IN PLACES THAT HE SHOULDN'T IT REALLY HURT YOU AND YOU SAW THE DIRTY SPOT WHICH IS THE PART THAT BOYS HAVE AND GIRLS DON'T NEAR HIS LEG AND IT REALLY HURT YOU IS THAT RIGHT,2
YEAH WHAT HAPPENED AFTER JACK SAID ABOUT THE SECOND PART OF THE DARE,2
HM I HEARD THAT UNCLE GEORGE WAS RUDE TO YOU IS UNCLE GEORGE RUDE TO YOU,3
A LONG TIME WHAT DOES IT FEEL LIKE,2
OKAY SO TELL ME EVERYTHING HE DOES WHEN HE PRETENDS TO BE MR TICKLES STARTING FROM WHEN HE STARTS AT YOUR TOES,1
OKAY WAS THERE EVER ANY DARES DURING THAT GAME,2
TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
OKAY TELL ME WHAT HAPPENED ONCE HE RAN AWAY,1
CAN YOU TELL ME TELL ME MORE ABOUT THE PART WHERE YOU PLAYED THE SPLASHING GAME,2
OKAY CAN YOU TELL ME WHICH ROOM OF THE HOUSE THE WALL WAS IN,2
AND DO YOU LIKE IT WHEN HE TICKLES YOUR TOES,2
OKAY TELL ME EVERYTHING ABOUT WHAT YOU SAW ON THE COMPUTER WHAT WAS HAPPENING,1
OKAY TELL ME WHEN HE PUTS THE TEMPERATURE THING IN YOUR BOTTOM IS THAT AT THE FRONT OR AT THE BACK,2
NO IN THE MORNING WHEN YOU GOT UP WERE THERE ANY ADULTS IN YOUR HOME,2
THAT'S PRETTY GOOD AND THE TICKLING GAME WHICH GAME DO YOU LIKE THE BEST,2
IS THAT RIGHT YEAH,2
ALL THE GOOD THINGS WHAT ARE THE GOOD THINGS ABOUT WHEN YOU PLAY WITH YOUR BROTHER,1
SO YOU WENT TO THE TOILET DID YOU GO TO THE TOILETS WITH HIM,2
OKAY NOW I'VE HEARD THAT SOMEONE DID A RUDE THING TO YOU DID SOMEONE DO A RUDE THING TO YOU,3
AND WHAT'S THE NEXT THING THAT HAPPENS,1
TUESDAYS AND THURSDAYS OKAY AND REMEMBER YOU TOLD ME ALAN THAT YOU WERE IN YOUR GARDEN WHEN YOU WERE PLAYING HIDE AND SEEK HOW DID JACK COME AROUND TO YOUR HOUSE ON THAT DAY,2
CALLUM SO WHAT DID YOU WANT TO TELL ME ABOUT CALLUM,2
OKAY AND THEN WHAT DID HE DO AFTER THAT,1
HM-HM OKAY AND WHEN DID YOU TELL SOMEONE ABOUT WHAT HAPPENED TO YOU,2
WHAT ELSE HAPPENED,1
AND WHO HIT YOU WITH THE STICK,2
OKAY SO TELL ME MUCH MORE ABOUT THAT,1
NOTHING NOTHING AND HAVE YOU TOLD MUM ABOUT THE BAD MAN,2
WHAT HAPPENED I'D LIKE YOU TO TELL ME THE WHOLE STORY FROM THE VERY BEGINNING WHEN POP DOES THE RUDE STUFF,0
TELLS ME WHAT HAPPENS NEXT,1
WHAT ELSE HAPPENED,1
YOU DON'T KNOW WELL YOU STILL LIKE GOING TO THE PARK IS THAT RIGHT,3
SHE WAS AT HOME WAS THERE ANYBODY ELSE IN THE HOUSE,2
YEAH AND WHAT HAPPENED THEN,1
OKAY SO YOU WENT FIRST SO YOU WENT INTO THE CUBICLE WITH SAM AND THEN WHAT HAPPENED,1
YEAR 1 IS THIS THE SAME SCHOOL YOU'VE BEEN GOING TO SINCE YOU STARTED,3
AND WHAT HAPPENED WHEN HE CHECKED YOUR BONES WITH THE STICK,1
OKAY AND HOW DID IT FEEL WHEN DAD GRABBED YOU NEAR YOUR SHOULDER,2
OKAY TELL ME ABOUT THE GAME,1
HM-HM SO TELL ME MORE ABOUT THE DARE,3
OKAY CAN YOU TELL ME ABOUT THAT DAY THE LAST TIME THAT HAPPENED,2
: NO AND SO HE TOLD YOU TO BE QUIET DID HE SAY ANYTHING ELSE AFTER THAT,2
HM-HM SO WHO DID YOU SPEAK TO,2
OKAY ALL RIGHT THANK YOU FOR TELLING ME ABOUT THAT ISABELLE THE VERY LAST TIME YOU WENT TO THE PARK WITH YOUR BROTHER I WANT TO KNOW EVERYTHING THAT HAPPENED EVEN THE LITTLE THINGS THAT HAPPENED OKAY SO START FROM THE BEGINNING AND TELL ME ALL ABOUT THE PARK WHEN YOU WENT TO THE PARK WITH YOUR BROTHER,0
OKAY OKAY MILLIE I'M JUST THINKING ABOUT SOME OF THE THINGS THAT YOU'VE SAID YEAH AND THERE ARE SOME THINGS THAT YOU'VE TOLD ME TODAY THAT I DO NEED TO SPEAK TO SOMEONE ELSE BECAUSE I AM WORRIED ABOUT YOU AND I THINK WHAT YOU'VE SHARED WITH ME IS REALLY IMPORTANT AND I WANT TO BE ABLE TO MAKE SURE THAT YOU'RE SAFE DO YOU KNOW WHAT SAFETY MEANS,2
I HEARD THAT YOU HAD A PLAYDATE WITH YOUR FRIEND JANET DID YOU HAVE A PLAYDATE WITH YOUR FRIEND JANET,3
TELL ME EVERYTHING YOU REMEMBER ABOUT THAT,1
TELL ME WHEN YOU TOLD YOUR MUM ABOUT WHAT HAPPENED,2
YEAH AND WHO WOULD THAT BE,2
THEN WHAT HAPPENED,1
HAS THE TYPE OF DARE THAT JACK PLAYED WITH THAT DAY HAS THAT EVER HAPPENED TO YOU BEFORE,2
NO OKAY SO YOU SAID HE WAS WEARING A GREEN BIG JACKET SO DOES THAT MEAN SO COULD YOU SEE HIS ARMS OR ANYTHING LIKE THAT,2
SO YOU ARE NOT ANGRY,3
TELL ME ABOUT ALL THE BAD THINGS ABOUT WHEN YOU PLAY WITH YOUR BROTHER,1
HM-HM AND THEN WHAT,1
DO YOU REMEMBER HOW LONG HE WAS HITTING YOU FOR,2
HM-HM OKAY AND THAT'S WHEN YOU WENT INSIDE,3
YEAH WHAT COLOUR WERE THEY,2
OKAY AND HOW OLD ARE YOU CHARLOTTE,2
MILLIE TELL ME WHAT YOU'VE COME TO TALK TO ME ABOUT TODAY,0
STEPHEN'S OKAY AND WHEN YOU SAY HE TICKLES YOUR MINI WITH HIS FINGERS YOU SAY THAT ON TOP OF YOUR MINI YOU SAID JUST TELL ME A LITTLE BIT MORE ABOUT THAT,1
AND THEN WHAT HAPPENED,1
YOUR BROTHER WHAT'S YOUR BROTHER'S NAME,2
OKAY I WASN'T THERE WHEN YOU GOT HOME FROM SCHOOL WITH YOUR COUSIN SO TELL ME ALL ABOUT WHAT HAPPENED IN AS MUCH DETAIL AS YOU CAN,1
OKAY AND WHAT'S YOUR NEIGHBOUR'S NAME,2
IS IT OH YOU'RE LUCKY TO LIVE SO CLOSE SO DO  YOU WALK THERE,2
OKAY AND SO AFTER YOU MADE FAIRY BREAD WITH JANET WHAT DID YOU DO,1
OKAY AND WHAT HAPPENED THEN,1
HAS CALLUM HIT YOU BEFORE,2
WHAT HAPPENS TO YOU WHEN YOU FEEL SCARED,2
OKAY ALL RIGHT AND DOES ANYTHING ELSE OCCUR WHEN YOU'RE IN THE TUNNELS,2
HM-HM AND THEN WHAT'S THE NEXT THING THAT HAPPENED AFTER YOU WERE PLAYING ON THE SEE-SAW,1
OKAY SO I WASN'T THERE SO I DON'T KNOW HOW MANY OF YOU SO THERE WAS YOU AND BEN AND THEN CAN YOU COUNT HOW MANY OTHER PEOPLE WERE IN THE CUBICLE,2
THE NEXT DAY AND WHAT DID YOU TELL HER,2
OKAY TELL ME MORE ABOUT HIS FINGERS WIGGLING ALL OVER YOUR PRIVATES,1
AT NIGHT-TIME AND WHAT DID YOU TELL MUM,2
AND WHAT HAPPENED AFTER THAT,1
AND WHAT JANET DID,2
SO WHO ELSE IS AT HOME WHEN YOU'RE PLAYING THE TICKLING GAME,2
PULL YOUR DRESS UP YEAH OKAY SO I'M A BIT CONFUSED ON HOW HE GETS TO SEE YOUR WINI HOW DOES THAT HAPPEN,3
ONLY THE DOCTOR GAME THAT'S A BAD THING,2
HE'S THE TOILET HELPER OKAY CAN YOU DO YOU REMEMBER WHAT THIS MAN LOOKED LIKE,2
AH-HA OKAY AND WHAT HAPPENED NEXT,1
AND WHAT HAPPENED THEN,1
OKAY CAN YOU REMEMBER THE WORDS THAT DAD USED,2
OKAY YEAH TELL ME EVERYTHING ABOUT THE PART WHERE HE HAD THE DIRTY SPOT IN HIS HAND,1
: AND THEN WHAT HAPPENED,1
: AND WHAT DID HE DO AFTER HE SAID THAT,2
ALL RIGHT AND WHEN YOU TELL HIM YOU DON'T WANT TO PLAY WHAT DOES HE DO THEN,1
OKAY AND WHAT DOES JACK SAY WHEN YOU GO AND PLAY IN THE GARDEN,2
OKAY HOW DID YOU FEEL WHEN YOU FELL ON THE CHAIR,2
OKAY OKAY AND HILARY WHERE WAS JANET WHEN POP TOUCHED YOUR PRIVATES,2
TELL ME ABOUT THAT,1
HM WHAT HAPPENED WHEN HE WAS WAKING YOU UP,2
OKAY AND WHERE WAS MUM,2
NO OKAY IS THERE ANYTHING ELSE THAT YOU WANT TO TELL ME ABOUT THE BAD MAN OR WHAT HAPPENED,2
THE BIG BOY AT SCHOOL OKAY SO TELL ME WHAT HAPPENED WITH THE BIG BOY AT SCHOOL,2
OKAY CAN YOU TELL ME A BIT ABOUT THAT PART ALAN AND TRY AND TELL ME AS MUCH AS YOU CAN BECAUSE I WASN'T THERE WITH YOU AND JACK SO IT'S HELPFUL IF YOU CAN TELL ME AS MUCH AS YOU REMEMBER ABOUT WHAT HAPPENED SO I CAN UNDERSTAND WHAT HAPPENED,2
:  TELL ME ABOUT WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
WHAT KIND OF CONTROL WAS THAT,2
NO SO I WASN'T THERE WHEN THAT BIT HAPPENED SO CAN YOU TELL ME MORE ABOUT HOW HE WIPED YOUR PRIVATE PARTS,2
OKAY SO HE ASKED YOU IF YOU WANTED TO GO INTO THE SPA AND THEN WHAT HAPPENED AFTER THAT,1
OKAY SORRY TO HEAR THAT AND DID HE USE ANY CREAM OR DID HE TELL YOU TO DO A CERTAIN THING WHILE HE TOUCH YOU,2
OKAY AND YOU WERE SAYING WHEN YOU SAID THE LAST TIME LIKE THE TIME BEFORE WAS THAT AT BEDTIME OR WAS THAT AT A DIFFERENT TIME,2
OKAY TELL ME ALL ABOUT YOUR COUSIN,1
AND DID YOU,2
WHAT DID YOU HIT YOUR HEAD ON,2
HM-HM AND SO HILARY WHEN YOU WERE IN THE POOL AND YOU WERE SPLASHING AROUND AND IT WAS YOU AND JANET AND POP IN THE POOL IS THAT RIGHT,2
OKAY WHAT HAPPENED AFTER YOU HIT YOUR HEAD ON THE TABLE,1
TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
: AND WHAT WERE YOU DOING WHILST HE WAS HITTING YOU,2
OH OKAY AND WHAT HAPPENED AFTER THAT,1
OKAY AND DO YOU UNDERSTAND WHY I NEED TO SPEAK TO SOMEONE ABOUT WHAT YOU'VE SAID,2
YEAH OKAY WHAT HAPPENED NEXT,1
SO YOU'VE BEEN MADE TO PLAY A GAME AND DIDN'T LIKE IT AND YOU WERE ON I DON'T REMEMBER WHAT YOU SAID WAS IT ON THE MONKEY BARS,2
MUM WAS HOME AND DID YOU GO STRAIGHT INTO YOUR ROOM WHEN YOU GOT HOME,2
AND THEN YOU WENT HOME AND PLAYED IN YOUR ROOM HM-HM TELL ME MORE ABOUT THE TEMPERATURE STICK ISABELLE,1
OKAY AND HOW DID YOU FEEL,2
YEAH OKAY AND WAS THAT SOMETHING THAT'S HAPPENED WITH YOUR UNCLE GARY THAT YOU JUST TOLD ME ABOUT WAS THAT SOMETHING THAT HAS HAPPENED ONCE OR MORE THAN ONCE,2
AND SO WHEN DID YOU TELL TAMMY ABOUT THAT,2
OKAY SO ALAN YOU'VE TOLD ME LOTS OF THINGS ABOUT WHAT HAPPENS WHEN YOU PLAY HIDE AND SEEK SO TELL ME WHAT HAPPENS BEFORE YOU PLAY HIDE AND SEEK WHAT DO YOU DO,1
: IS THAT RIGHT,2
OKAY AND CAN YOU TELL ME ABOUT BEDTIME HOW THAT HAPPENED,2
YEAH WHAT ARE YOU WEARING,2
AND WHO ELSE IS IN THE GARDEN,2
SO WHEN YOU LEFT THE TOILET AND HE HAD RAN AWAY DID YOU SEE THE BAD MAN AGAIN,2
OH LOVELY OKAY ALL RIGHT WELL TELL ME MORE ABOUT THE TICKLING GAME,1
AND JACK FOUND YOU THERE,3
EXPLAIN THE DIRTY SPOT TO ME WHAT'S THAT,1
YOU DID OKAY AND HE WAS IN THERE WHEN YOU WENT TO THE TOILET IS THAT RIGHT,2
OKAY WHAT DID THE MAN DID THE MAN SAY OR DO ANYTHING WHEN SHE SAID THAT,2
HM THEN WHAT HAPPENED,1
YEAH I WASN'T THERE WHEN SOMETHING HAPPENED WITH YOUR DAD CAN YOU HAVE A BIG THINK ABOUT IT AND TELL ME EVERYTHING THAT HAPPENED FROM THE START TO THE END,2
CAN YOU TELL ME WHAT TIME IT WAS,2
OKAY SO WHAT HAPPENED NEXT AFTER HE'D PUT HIS THING INSIDE YOUR BOTTOM AND THEN TAKEN IT OUT WHAT HAPPENED NEXT,1
OKAY TELL ME MORE ABOUT THE NAUGHTY THING,1
OKAY AND WHAT DID YOU TELL YOUR MUM ABOUT JACK,3
OKAY SO AFTER THAT GAME WHAT HAPPENED THEN,1
OKAY DID YOU SEE DAD RUN AWAY,2
WHAT CAN YOU TELL ME,2
OKAY SO HE GOES TO YOUR SCHOOL SO I DON'T KNOW BEN SO TELL ME HOW YOU KNOW BEN,3
YOU TOLD YOUR MUM AND WHAT DID YOU SAY TO MUM,2
OKAY AND DID YOU DO THAT DID HE STOP OR WHAT HAPPENED AFTER HE SAID THAT WHAT HAPPENED NEXT,1
HM-HM WHAT HAPPENED THEN,1
OKAY SO YOU SAY HE TICKLES YOU USING HIS FINGERS DESCRIBE TO ME EXACTLY WHAT HE DOES WITH HIS FINGERS,2
YOU DON'T KNOW SO CALLUM HIT YOU BEFORE DID HE DO IT WHILE THERE WAS ANYONE ELSE HOME,2
WHERE DID HE GO,2
AND WHAT HAPPENED AFTER YOU TOLD HER,2
AND THAT'S ALL WHAT ARE SOME THINGS THAT YOU LIKE ABOUT JOHNNY,1
OKAY SO JESSICA I WASN'T THERE AT THE TOILET IN KMART SO WHAT I'D LIKE YOU TO DO IS FOR YOU TO TELL ME EVERYTHING ABOUT WHAT HAPPENED WHEN YOU WERE AT KMART AND I'D LIKE YOU TO START FROM THE BEGINNING,0
NO AND WHAT DOES STEPHEN SAY TO YOU ABOUT THIS TICKLING GAME,2
YES WHAT HAPPENED THEN,2
OKAY WHAT HAPPENED AFTER DAD PUNCHED MUM IN THE HEAD,1
AND WHAT HAPPENED NEXT,1
WHAT DID HE SAY WHEN THAT HAPPENED,2
HM-HM I WANT TO FIND OUT A BIT MORE ABOUT WHERE THIS HAPPENED WHERE DO YOU HAVE YOUR BATH,2
TELL ME EVERYTHING YOU REMEMBER ABOUT HIM BECAUSE IT IS THE FIRST TIME WE GUYS ARE MEETING AND TALKING SO I WANT TO KNOW EVERYTHING THAT HAPPENED WITH HIM,1
NO OKAY WHAT HAPPENED WHEN YOU WENT INTO THE TOILETS,1
WAS IT A SCHOOL DAY OR ON THE WEEKEND,2
: OKAY AND TELL ME WHAT HAPPENED AFTER CALLUM HIT YOU WITH THE BIG STICK,2
OKAY CAN YOU TELL ME SORRY TELL ME ANY MORE DETAIL ABOUT THAT,1
CAN YOU TELL ME MORE ABOUT WHEN HE GRABBED YOU WHEREABOUTS ON HIS BODY DID HE GRAB ON YOUR BODY DID HE GRAB YOU,2
WHY WAS IT YUCK,2
OKAY SO OBVIOUSLY ISABELLE I'M NOT THERE SO FEEL FREE TO TALK TO ME ABOUT ANYTHING YOU'RE NOT GOING TO GET INTO ANY TROUBLE BUT CAN YOU EXPLAIN TO ME WHAT YOU MEAN BY WHEN YOU SAY HE DOES SOMETHING NAUGHTY,2
AT THE BACK OKAY AND IS THERE ANYTHING ELSE THAT HAPPENS WHEN YOU PLAY DOCTORS,2
: THE SAME NIGHT,2
YEAH OKAY GOOD AND DID CALLUM COME WITH YOU OR DID HE STAY AT HOME,3
…TALK TO ME ABOUT TODAY,1
YEAH DO YOU KNOW WHAT IT WAS THAT HE PUT IN YOUR BOTTOM,2
NO OKAY WAS HE TALL OR WAS HE SHORT,2
: AND WHAT WERE YOU FEELING,2
SO I'M HERE TO FIND OUT WHAT HAPPENED TO YOU AND WHAT HAPPENED TO MAKE YOUR BOTTOM GET SORE OKAY SO I NEED TO KNOW WHAT HAPPENED AND CAN YOU START FROM THE BEGINNING,0
YEAH OKAY ALL RIGHT SO HE GOES FIRST AND THEN IT'S YOUR TURN AND SO TELL ME MORE LUCY ABOUT HOW IT'S YOUR TURN AND THEN BETWEEN WHEN IT'S YOUR TURN AND THEN WHEN HE SAYS NOT TO TELL ANYONE CAN YOU TELL ME EVERY TELL ME EVERYTHING THAT HAPPENS THEN,2
HM-HM TELL ME MORE ABOUT THAT,1
OKAY OKAY DOES HE DO ANYTHING ELSE WHEN HE'S THE DOCTOR TO YOU,2
OH OKAY I UNDERSTAND AND YOU SAID THIS HAPPENS IN THE TUNNEL AT THE PARK WHAT ELSE CAN YOU TELL ME ABOUT THE TUNNEL IN THE PARK,1
HM-HM AND WHAT HAPPENED THEN,1
: AND WHAT HAPPENED AFTER THAT,1
HM-HM AND WHAT HAPPENED WHEN HE SAID THAT,2
AND WHAT HAPPENS AFTER HE FOLLOWS YOU IN,1
YEAH OKAY AND DID SOMEONE COME AND PICK YOU UP FROM SCHOOL OR WHAT HAPPENED AFTER ART CLASS,2
OH OKAY AND YOU SAID THAT YOUR COUSIN DIDN'T SAY ANYTHING TO YOU,2
WHO HAVE YOU TOLD,2
SO YOU WENT TO THE TOILETS AND THEN WHAT HAPPENED,1
TELL ME MORE ABOUT THE PART WHERE YOU SAW BLOOD ON THE STICK,1
NO OR DID HE TELL YOU TO DO SOMETHING WHILE HE WAS TOUCHING YOU,2
HM AND THEN,1
HM-HM AND WHAT DID JANET SAY,2
WHAT HAPPENED THERE,2
WHAT DID YOU SEE,2
YEAH SO TELL ME MORE ABOUT WHAT STEPHEN DOES WHEN YOU'RE IN THE BATH,1
THEN WHAT HAPPENED,1
YOU DON'T KNOW WHAT WAS HIS REACTION WHEN YOU LEFT THE ROOM DID HE COME TO APOLOGISE OR DID HE SAY ANYTHING OR HE JUST KEPT QUIET,2
HM AND THEN WHAT HAPPENED,1
OKAY THAT IS FUN SO WHICH GAME DON'T YOU LIKE,2
OKAY AND TELL ME WHAT HE WAS DOING WITH IT IN HIS HAND,2
OKAY SO I WASN'T THERE CAN YOU TELL ME A BIT MORE ABOUT HIS DIRTY SPOT,2
AND THE BAD MAN WHAT DID THE BAD MAN DO,2
WHEN YOU PLAY THESE GAMES ALAN WHERE DO YOU PLAY THESE GAMES,2
OKAY WHAT ELSE HAPPENED AT CALLUM'S HOUSE,1
YOU DON'T KNOW IS HE BIGGER THAN YOU,2
: HM-HM OKAY AND WHAT ELSE HAPPENED WHEN HE MADE YOU GO ON YOUR KNEES,1
TELL ME MORE ABOUT THE PART WHERE THE BAD MAN CAME IN,1
: HAD YOU BEEN TO SCHOOL THAT DAY,2
EXPLAIN TO ME WHAT HAPPENED WHEN SOMETHING WENT INTO YOUR BOTTOM,1
YEAH O KAY AND WHAT HAPPENED THAT TIME WAS IT THE SAME SORT OF CUDDLE,2
DID HE TOUCH YOU ANYWHERE ELSE,2
AND CAN YOU TELL ME AS MUCH AS YOU CAN ABOUT THE LAST TIME THAT IT HAPPENED,2
NO IS THERE ANYTHING ELSE THAT YOU REMEMBER ABOUT THAT THAT YOU WANT TO TALK TO ME ABOUT,2
YEAH OKAY WHERE DID YOU HIDE,2
: WHERE DID YOU DROP THE CRUMBS,2
IS THERE ANY OTHER TEACHERS KNOW ABOUT THE YUCKY GAME,2
NO CAN YOU TELL ME HOW THAT MADE YOU FEEL,2
NO OKAY WHEN YOU'RE AT HOME WITH CALLUM DO YOU EVER FEEL SCARED,2
OKAY DID ANYONE COME HOME DURING THAT TIME,2
WHY IS IT YUCK,2
