Question,labels
OKAY SO I DON'T KNOW ANYTHING ABOUT THE BAD MAN TELL ME EVERYTHING ABOUT THE BAD MAN AND START FROM THE BEGINNING,0
HM-HM,13
OKAY CAN YOU TELL ME ALL ABOUT THE PART WHERE YOU MET THE BAD MAN,5
SO TELL ME ALL ABOUT THE PART WHERE YOU MET THE BAD MAN,2
OKAY SO JESSICA I WASN'T THERE AT THE TOILET IN KMART SO WHAT I'D LIKE YOU TO DO IS FOR YOU TO TELL ME EVERYTHING ABOUT WHAT HAPPENED WHEN YOU WERE AT KMART AND I'D LIKE YOU TO START FROM THE BEGINNING,0
HM-HM,13
HM-HM AND THEN WHAT HAPPENED,1
HM-HM,13
YEAH AND SO WHAT ELSE HAPPENED,1
HM-HM,13
HM-HM,13
AND WHAT HAPPENED THEN,1
HM-HM,13
HM-HM SO TELL ME MORE ABOUT THE PART WHERE YOU WENT INTO THE TOILET,2
HM-HM,13
TELL ME MORE ABOUT THE PART WHERE THE BAD MAN CAME IN,2
HM-HM,13
HM-HM AND THEN WHAT HAPPENED,1
HM-HM,13
AND WHAT HAPPENED THEN JESSICA,1
ON YOUR MINI,13
HM-HM AND WHAT HAPPENED THEN,1
TELL ME MORE ABOUT THE LADY COMING IN,2
HM-HM,13
OKAY AND WHAT HAPPENED THEN,1
OKAY SO WHAT I WOULD LIKE YOU TO DO IS I WANT YOU TO TELL ME MORE ABOUT THE PART WHEN HE PUT HIS HAND ON YOUR MINI,2
HM-HM,13
HM-HM OKAY AND JESSICA DO YOU KNOW ANY OTHER WORDS FOR MINI,5
HM-HM,13
PRIVATES,13
HM-HM OKAY AND I WANT YOU TO ALL RIGHT SO TELL ME WHAT HAPPENED WHEN THE LADY CAME IN,2
HM-HM,13
OKAY SO WHAT HAPPENED WHEN HE TOLD YOU THAT HE WAS THE HELPER,2
HM-HM,13
HM-HM,13
YEAH SO I WASN'T THERE WHEN THAT HAPPENED SO I NEED YOU TO TELL ME EVERYTHING ABOUT THAT PART,7
OKAY NOW I WANT YOU TO TELL ME EVERYTHING ABOUT THE BAD MAN,0
HM-HM,13
HM-HM,13
JESSICA TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,0
THE BAD MAN CAN YOU TELL ME WHY HE'S THE BAD MAN,5
YEAH OKAY CAN YOU TELL ME WHAT'S HAPPENED,5
YEAH OKAY SO YOUR MUM SAID THAT YOU WENT TO KMART THE OTHER DAY IS THAT RIGHT,5
WENT TO KMART OKAY AND CAN YOU TELL ME WHO YOU WENT TO KMART WITH,5
YOUR MUM AND YOUR BROTHER OKAY AND DID YOU YOUR MUM SAID THAT YOU WENT TO THE TOILET WHEN YOU WENT TO KMART IS THAT RIGHT,5
YEAH AND CAN YOU TELL ME DID YOU TAKE ANYONE INTO THE TOILET WITH YOU,5
NO OKAY WHAT HAPPENED WHEN YOU WENT INTO THE TOILETS,2
HE FOLLOWED YOU IN SO THIS IS THE BAD MAN THAT YOU WERE JUST TALKING ABOUT,5
OKAY AND WHERE WERE THE TOILETS IN KMART DO YOU REMEMBER,4
NEAR THE BABY CLOTHES OKAY AND DID YOU SEE THE MAN BEFORE YOU WENT INTO THE TOILETS,5
NO OKAY SO A MAN'S FOLLOWED YOU INSIDE THE TOILET BLOCK OR INTO THE ACTUAL TOILET,6
IN THE ACTUAL TOILET OKAY AND DID THIS MAN SAY ANYTHING TO YOU WHEN YOU WERE IN THE TOILET,5
YEAH CAN YOU TELL ME WHAT CAN YOU REMEMBER WHAT HE SAID,5
YEAH WHAT DID HE SAY,4
HE'S THE TOILET HELPER OKAY CAN YOU DO YOU REMEMBER WHAT THIS MAN LOOKED LIKE,5
YEAH CAN YOU DESCRIBE HIM FOR ME OR CAN YOU REMEMBER WHAT HE LOOKED LIKE CAN YOU TELL ME WHAT HE WAS WEARING,5
YEAH WHAT WAS HE WEARING,4
A BIG GREEN COAT OKAY COULD YOU DO YOU REMEMBER WHAT HE WAS WEARING ON HIS LEGS,5
NO OKAY DO YOU REMEMBER ANYTHING ABOUT THE COAT APART FROM THAT IT WAS GREEN,5
IT WAS REALLY BIG OKAY DID IT HAVE ANY WRITING ON IT CAN YOU REMEMBER,5
NO OKAY AND YOU SAID THAT HE'S THE TOILET SORRY YOU SAID THAT HE FOLLOWED YOU TO THE TOILET AND HE SAID SOMETHING TO YOU WHAT HAPPENED ONCE HE SPOKE TO YOU IN THE TOILET,3
HE HAD TO HELP YOU WIPE OKAY SO DID YOU GO TO THE TOILET IN FRONT OF THIS MAN AT ALL,5
YOU DID OKAY AND HE WAS IN THERE WHEN YOU WENT TO THE TOILET IS THAT RIGHT,5
AND WHEN YOU SAID HE HAD TO HELP YOU WIPE WHAT DID HE DO,4
OKAY AND WHAT'S YOUR MINI,4
YOUR PRIVATE OKAY AND DID HE DO ANYTHING ELSE APART FROM TOUCH YOU,5
NO OKAY WHAT'S HAPPENED THEN HOW LONG DO YOU THINK HE HAD HIS HAND THERE TOUCHING YOU FOR,4
DID IT SEEM LIKE A LONG TIME OR A SHORT TIME,6
A LONG TIME OKAY AND DID HE HELP YOU WIPE,5
YEAH AND DID YOU DO A NUMBER ONE OR A NUMBER TWO,6
A NUMBER ONE OKAY AND SO DID HE USE TOILET PAPER TO DO THAT OR DID HE NOT USE TOILET PAPER,6
HE DIDN'T USE TOILET PAPER OKAY SO HE TOUCHED YOU WHICH SEEMED LIKE A LONG TIME DID HE WAS IT JUST ON THE OUTSIDE OR DID HE TOUCH YOU ON THE INSIDE TOO,13
THE OUTSIDE OKAY SO WHAT'S HAPPENED AFTER THAT,1
A LADY CAME IN,13
OKAY AND WHAT DID THE LADY DO,4
SHE ASKED YOU IF YOU WERE OKAY OKAY COULD YOU SEE YOU AND THE MAN IN THE TOILET TOGETHER,5
OKAY DO YOU REMEMBER WAS THE TOILET DOOR OPEN OR WAS IT CLOSED,6
CLOSED OKAY BUT SHE SAW YOU IN THERE DID SHE,5
OKAY WHAT DID THE MAN DID THE MAN SAY OR DO ANYTHING WHEN SHE SAID THAT,5
HE WASN'T THERE SO DID HE LEAVE WHEN THE LADY CAME IN DID HE,8
OKAY AND DID HE SPEAK TO HER AT ALL DO YOU REMEMBER,5
NO OKAY SO THE LADY'S WALKED IN AND ASKED IF YOU'RE OKAY AND THE MAN HAS JUST WALKED OUT,13
OKAY DID YOU SAY ANYTHING TO THE LADY,5
NO SO WHEN SHE ASKED IF YOU'RE OKAY YOU DIDN'T SAY ANYTHING TO HER,5
NO OKAY SO WHAT DID YOU DO AFTER THAT,1
YOU WENT BACK TO YOUR MUM OKAY AND DID YOU TELL YOUR MUM WHAT HAPPENED,5
YEAH CAN YOU REMEMBER WHAT YOU SAID TO YOUR MUM,5
YEAH WHAT DID YOU SAY,4
OKAY AND WHAT JESSICA DO YOU REMEMBER WHAT YOU WERE WEARING WHEN YOU WENT TO THE TOILET,5
YEAH WHAT WAS YOU WEARING,4
A DRESS OKAY AND WHAT COLOUR WAS YOUR DRESS,4
PINK OKAY AND WAS IT JUST PLAIN PINK OR DID IT HAVE PICTURES ON IT OR,6
JUST PLAIN PINK OKAY SO DID YOU TELL YOUR MUM ABOUT THE MAN THAT FOLLOWED YOU INTO THE TOILET,5
OKAY CAN YOU REMEMBER CAN YOU REMEMBER ANYTHING SPECIFIC ABOUT THE MAN APART FROM THE FACT THAT HE WAS WEARING A GREEN JACKET,5
NO OKAY WAS HE TALL OR WAS HE SHORT,6
HE WAS TALL OKAY AND HOW OLD DO YOU THINK HE MIGHT HAVE BEEN,4
OLD SO DID HE HAVE GREY HAIR OR DID HE HAVE WHAT COLOUR HAIR DID HE HAVE,8
HE HAD GREY OKAY DO YOU REMEMBER IF HE HAD ANY FACIAL ANY HAIR ON HIS FACE OR NOT,5
YEAH WHEREABOUTS,3
ON HIS CHIN OKAY YEAH DID HE HAVE ANY HAIR ANYWHERE ELSE ON HIS FACE,5
NO SO ON HIS CHIN OKAY WAS IT SHORT HAIR OR LONG HAIR ON HIS CHIN,6
SHORT HAIR OKAY SO DID IT LOOK LIKE A BEARD OR DID IT LOOK LIKE IT WAS JUST SORT OF A STUBBLE,6
A BEARD OKAY AND WHAT COLOUR WAS HIS BEARD,4
GREY OKAY AND YOU SAID THAT HIS HAIR WAS GREY CAN YOU REMEMBER WHAT HIS HAIR LOOKED LIKE,5
CAN YOU REMEMBER IF IT WAS IF HIS HAIR WAS LONG OR SHORT,5
SHORT OKAY AND DO YOU KNOW IF IT WAS HIS HAIR COMPLETELY GREY OR DID IT HAVE ANOTHER COLOUR,5
JUST GREY,13
OKAY AND DID HE HAVE ALL OF HIS HAIR ON HIS HEAD,5
HAD ALL HIS HAIR OKAY AND DO YOU KNOW WHAT TYPE OF HAIRSTYLE HE HAD SO YOU SAID IT WAS SHORT WAS IT SORT OF WAS IT MESSY OR WAS IT I GUESS REALLY SHORT LIKE REALLY REALLY SHORT HAIR OR WAS IT LONGER OR DO YOU REMEMBER,5
NO OKAY SO YOU SAID HE WAS WEARING A GREEN BIG JACKET SO DOES THAT MEAN SO COULD YOU SEE HIS ARMS OR ANYTHING LIKE THAT,5
NO OKAY SO DID YOU NOTICE ANY MARKING OR ANY TATTOOS OR ANYTHING ON HIM AT ALL,5
NO OKAY WHAT ABOUT ANY PIERCINGS LIKE DID HE HAVE ANY EARRINGS OR JEWELLERY OR ANYTHING LIKE THAT DO YOU REMEMBER THAT,5
NO OKAY DO YOU KNOW WHAT COLOUR EYES HE HAD,5
YEAH WHAT COLOUR WERE THEY,4
BLUE OKAY SO HE HAD BLUE EYES AND GREY HAIR WITH A SHORT BEARD ON HIS CHIN,13
OKAY AND DO YOU REMEMBER WHAT COLOUR HIS SKIN WAS,5
OKAY WHAT SORT OF THINGS DO YOU LIKE TO DO WITH YOUR COUSIN,4
OKAY,13
OKAY TELL ME ALL ABOUT STAYING AT YOUR COUSIN'S HOUSE,0
OKAY AND YOU STAY ON THE BLOW-UP MATTRESS OKAY TELL ME ABOUT THE LAST TIME YU STAYED AT YOUR COUSIN'S HOUSE,2
SORRY HE WOKE YOU UP IN THE MIDDLE OF THE NIGHT,13
YEAH OKAY AND WHAT HAPPENED,4
OH OKAY YEAH,13
YEAH OKAY SOMETHING IN YOUR BOTTOM THEN WHAT HAPPENED,1
OKAY DID ANYTHING ELSE HAPPEN,5
OKAY HE PUT SOMETHING IN YOUR BOTTOM AND HE PULLED IT OUT AND PUT BACK IN A FEW TIMES,13
OKAY AND THEN WHAT HAPPENED,1
HAD HIS DIRTY SPOT IN HIS HAND WHAT ELSE HAPPENED,1
OKAY SO YOU SAID BEFORE THAT HE PUT SOMETHING IN YOUR BOTTOM TELL ME EVERYTHING ABOUT THAT PART,2
OKAY YEAH TELL ME EVERYTHING ABOUT THE PART WHERE HE HAD THE DIRTY SPOT IN HIS HAND,2
OKAY SO I WASN'T THERE CAN YOU TELL ME A BIT MORE ABOUT HIS DIRTY SPOT,5
YEAH WHAT CAN YOU TELL ME ABOUT HIS DIRTY SPOT,4
LONG AND HARD OKAY DID YOU SEE HIS DIRTY SPOT IS THAT WHAT IT FELT LIKE OR SOMETHING ELSE,6
OKAY I'M A BIT CONFUSED ABOUT THE DIRTY SPOT CAN YOU TELL ME A BIT MORE ABOUT IT,5
YEAH WHAT CAN YOU TELL ME ABOUT IT,4
OKAY SO HE'S HAD HIS PANTS DOWN AND IT WAS OUT WHAT ELSE,1
YEAH CAN YOU TELL ME ANYMORE ABOUT IT BEING BIG AND YUCKY,5
DID HE SAY ANYTHING TO YOU,5
NO DID YOU SAY ANYTHING TO HIM,5
OKAY SO WHAT HAPPENED AFTER YOU STARTED CRYING,1
OKAY YOU SAID THAT HIS DIRTY SPOT WAS REALLY BIG AND THAT IT WAS LONG AND HARD,13
SO IT WAS REALLY YUCK WHAT COLOUR WAS IT,13
HIS SKIN COLOUR OKAY DO YOU KNOW IF THE DIRTY SPOT HAS ANOTHER NAME,5
WHAT'S THE OTHER NAME FOR IT,4
HIS WILLY OKAY AND YOU SAID THAT HE PUT SOMETHING IN YOUR BOTTOM,13
YEAH DO YOU KNOW WHAT IT WAS THAT HE PUT IN YOUR BOTTOM,5
OKAY AND WHAT PART OF YOUR BODY DO YOU MEAN WITH YOUR BOTTOM,4
SORRY,13
OH OKAY WHERE YOU DO POOS OKAY IS THIS THE FIRST TIME THAT YOUR COUSIN HAS DONE SOMETHING LIKE THIS TO YOU,5
YEAH DID YOU TELL ANYBODY ABOUT IT,5
YOU TOLD YOUR MUM OKAY AND DID ANYBODY SEE WHAT HAPPENED,5
NO SO WHERE WAS MUM WHEN IT HAPPENED,4
SHE WAS AT HOME WAS THERE ANYBODY ELSE IN THE HOUSE,5
OKAY AND WHERE WERE THEY,4
OH OKAY AND YOU SAID THAT YOUR COUSIN DIDN'T SAY ANYTHING TO YOU,5
AND YOU DIDN'T SAY ANYTHING TO HIM,5
BUT YOU DID TELL MUM,5
SO SARAH CAN YOU TELL ME WHAT YOU'VE COME HERE TO TALK TO ME ABOUT TODAY,5
YEAH WHAT ARE WE TALKING ABOUT TODAY,4
YEAH OKAY WHAT ABOUT YOUR BACK,4
IT'S SORE IS IT HOW DID IT GET SORE,4
IT JUST HURTS DOES IT I HEARD THAT YOU HAD SOME MARKS ON YOUR BACK IS THAT RIGHT,10
WHERE DID THE MARKS COME FROM,4
OKAY FROM A STICK DID YOU GET HIT WITH A STICK,5
AND WHO HIT YOU WITH THE STICK,4
MARK HIT YOU WITH THE STICK CAN YOU TELL ME WHAT HAPPENED WHEN HE HIT YOU WITH THE STICK,5
WHAT HAPPENED NEXT,1
HE SAID YOU WERE IN TROUBLE,13
WHAT WERE YOU IN TROUBLE FOR DO YOU KNOW,5
YEAH CAN YOU TELL ME ABOUT IT,5
OKAY SO YOU SAID YOU WERE IN TROUBLE WHY WERE YOU IN TROUBLE WHY WERE YOU IN TROUBLE,4
BROKE THE CONTROL,13
WHAT KIND OF CONTROL WAS THAT,4
OKAY SO I'VE HEARD THAT YOU WERE HIT WITH A STICK BY MARK BECAUSE YOU BROKE THE NINTENDO CONTROL IS THAT RIGHT,5
OKAY AND WHAT HAPPENED WHEN HE HIT YOU WITH THE STICK WHERE WERE YOU,4
IN YOUR BEDROOM WAS THERE ANYONE ELSE HOME,5
AND DO YOU REMEMBER WHERE YOU WERE WHY YOU WERE IN THE BEDROOM,5
WHY WAS THAT,4
OKAY DID HE TELL YOU TO GO TO YOUR ROOM BECAUSE OF THE CONTROL,8
OKAY DID ANYTHING ELSE HAPPEN AFTER HE HIT YOU WITH THE STICK,5
YEAH WHAT HAPPENED CAN YOU TELL ME ABOUT THAT,5
OKAY DO YOU KNOW WHERE HE WENT,5
WHERE DID HE GO,4
OKAY DID YOU TALK TO MARK AT ALL ABOUT THE MARKS AFTERWARDS,5
DID YOU SHOW ANYONE ELSE THE MARKS,5
WHO DID YOU SHOW,4
THE NURSE OKAY NOW THE NURSE SAID THAT YOU DIDN'T REALLY WANT TO TALK ABOUT THE MARKS WHY WAS THAT,10
OKAY DID MARK SAY ANYTHING ABOUT WHEN HE HIT YOU,5
WHAT DID HE SAY,4
DON'T TELL ANYONE WHAT HAPPENED AFTER THAT,1
OKAY HOW MANY TIMES DID HE WHACK YOU,4
LOTS OF TIMES,5
OKAY IS THIS THE ONLY TIME THAT HE'S HIT YOU,5
DO YOU REMEMBER HOW LONG HE WAS HITTING YOU FOR,5
NO DO YOU KNOW WHERE HE GOT THE STICK FROM,5
OKAY AND WHO IS MARK,4
YOUR COUSIN DO YOU KNOW HOW OLD MARK IS,5
YEAH HOW OLD IS HE,4
OLDER THAN YOU,5
IS HE OLDER THAN YOUR PARENTS,5
OKAY WHERE DOES MARK LIVE,4
OKAY WAS ANYONE ELSE HOME WHEN HE HIT YOU,5
DID ANYBODY ELSE SEE THE MARKS,5
NO WHY NOT,4
OKAY SO TELL ME MORE ABOUT THE PART WHERE YOU BROKE THE CONTROLLER WHAT HAPPENED,2
OKAY,13
OKAY SO NO ONE ELSE WAS HOME WHERE WAS EVERYONE ELSE,4
AT WORK OKAY AND WHY WAS MARK THERE,12
TO PLAY OKAY OKAY SO YOU'VE TOLD ME QUITE A BIT LET ME JUST DOUBLE-CHECK THAT I'VE GOT ALL OF THAT RIGHT SO MARK WAS WITH YOU AND YOU WERE PLAYING NINTENDO AND YOU STOOD UP AND BROKE THE CONTROLLER AND THEN HE GOT ANGRY AT YOU FOR THAT SO YOU WENT TO THE GARDEN AND GOT A STICK AND THEN HE HIT YOU WITH IT LOTS OF TIMES AND THEN AFTER THAT HE JUST LEFT AND HE TOLD YOU NOT TO TELL ANYONE,5
IS THERE ANYTHING ELSE YOU WANT TO TELL ME THAT I'VE MISSED,5
…TALK TO ME ABOUT TODAY,2
OKAY WHAT ABOUT YOUR TEACHER,4
YOU DON'T LIKE PLAYING GAMES WITH YOUR TEACHER,13
TELL ME ABOUT THE GAMES YOU PLAY WITH YOUR TEACHER,3
SHOW AND TELL,13
OKAY SO TELL ME MORE ABOUT SHOW AND TELL I'M NOT THERE SO I NEED YOU TO TELL ME IN AS MUCH DETAIL AS YOU CAN RIGHT FROM THE BEGINNING ABOUT WHAT SHOW AND TELL IS,0
SORRY I MISSED THAT I DIDN'T HEAR THAT,13
YEAH,13
SO OKAY SO YOU DON'T LIKE PUTTING AWAY THE PAINTS,8
IS THAT RIGHT,5
YEAH OKAY ALL RIGHT JUST TEL ME MORE ABOUT SHOW AND TELL THEN BECAUSE YOU SAID ABOUT SHOW AND TELL TELL ME IN AS MUCH DETAIL AS YOU CAN ABOUT SHOW AND TELL,2
OKAY SO WHO IS HE,4
YOUR TEACHER WHAT'S HIS NAME,4
MR MATTHEWS OKAY SO DURING SHOW AND TELL MR MATTHEWS FOLLOWS YOU INTO THE CUPBOARD WHEN YOU PUT THE PAINTS AWAY TELL ME ABOUT HIM FOLLOWING TELL ME MUCH MORE ABOUT HIM FOLLOWING YOU INTO THE CUPBOARD WHEN YOU PUT THE PAINTS AWAY,2
SO HE FOLLOWS YOU INTO THE CUPBOARD AND TELLS YOU THAT HE WANTS TO TEACH YOU HOW TO DO SHOW AND TELL DID I HEAR THAT RIGHT,5
OKAY SO TELL ME MUCH MORE ABOUT THAT,2
YEAH HE HAS TO GO FIRST AND WHAT THEN,4
AND THEN IT'S YOUR TURN YEAH AND WHAT HAPPENS THEN,4
OKAY SO HE TELLS YOU THAT HE NEEDS TO GO FIRST AND THEN IT'S YOUR TURN THEN HE TELLS YOU NOT TO TELL ANYONE OR YOU GET INTO TROUBLE,13
AND WHAT HAPPENS AFTER THAT,1
YOU PLAY OUTSIDE OKAY YOU'VE DONE A GREAT JOB IN TALKING TO ME TODAY YOU'RE DOING REALLY WELL TELLME JUST FROM THE BEGINNING WHEN HE FOLLOWS YOU INTO THE CUPBOARD JUST TELL ME THAT BIT WHEN HE FOLLOWS YOU INTO THE CUPBOARD SO THE BIT WHEN HE GOES FIRST,2
YEAH WHAT THEN,1
SO HE FOLLOWS YOU INTO THE CUPBOARD AND THEN HE PULLS HIS PANTS DOWN AND SHOWS YOU HIS WILLY IS THAT HAVE I GOT THAT RIGHT,5
OKAY AND WHAT THEN,1
AND THEN YOU HAVE TO PULL YOUR DRESS UP YEAH SORRY I THINK I'VE INTERRUPTED YOU,13
HE PULLS I'M JUST TRYING TO MAKE SURE THAT I UNDERSTAND EVERYTHING THAT YOU'RE TELLING ME SO MAKE SURE THAT YOU AS WE SAID AT THE BEGINNING THAT YOU CORRECT ME IF I HAVEN'T GOT SOMETHING RIGHT IS THAT OKAY,13
OKAY SO HE FOLLOWS YOU INTO THE CUPBOARD THEN HE PULLS HIS PANTS DOWN SHOWS YOU HIS WILLY YOU PULL YOUR DRESS UP BUT THEN ALSO YOU SHOW HIM YOUR WINI IS THAT RIGHT,13
YEAH OKAY YOU'RE DOING A REALLY GOOD JOB WITH TELLING ME THOSE THINGS I JUST WANTED TO UNDERSTAND A BIT MORE LUCY JUST ABOUT HIM PULLING HIS PANTS DOWN SO TELL ME IN AS MUCH DETAIL AS YOU CAN ABOUT HIM PULLING HIS PANTS DOWN,2
AND HIS UNDIES YEAH AND WHAT THEN,1
OKAY SO YOU SAID TO ME BEFORE THAT HE GOES FIRST CAN YOU JUST TELL ME A BIT MORE ABOUT THAT,5
YEAH TELL ME ABOUT THAT,3
OH OKAY ALL RIGHT SO I JUST WANT TO MAKE SURE I'VE UNDERSTOOD EVERYTHING THAT YOU'RE SAYING CAN YOU JUST TELL ME RIGHT FROM ABOUT WHEN HE SHOWED YOU HIS WILLY SO THEN YOU SHOWING HIM YOUR WINI,5
SORRY I MISSED THAT,13
OKAY SO WHAT DO YOU MEAN HE GOES FIRST,4
RIGHT OKAY YEAH I THINK I'VE UNDERSTOOD THAT SO ALL RIGHT AND WHAT DO YOU MEAN YOUR TURN,4
OKAY SO TELL ME A LOT MORE DETAIL PLEASE ABOUT HOW HE SHOWS HOW YOU SHOW HIM YOUR WINI,4
YEAH HOW DO YOU DO THAT,7
YEAH YEAH SO JUST OKAY I'M NOT THERE WHEN IT HAPPENED SO DESCRIBE IN A LOT MORE DETAIL FOR ME HOW YOU SHOW HIM YOUR WINI,7
OKAY AND WHAT'S THAT SAME THING,4
PULL YOUR DRESS UP YEAH OKAY SO I'M A BIT CONFUSED ON HOW HE GETS TO SEE YOUR WINI HOW DOES THAT HAPPEN,7
SORRY,13
HE JUST DOES SEE YOUR WINI YEAH HOW DOES HE COME TO SEE YOUR WINI,7
OKAY SO ARE YOU WEARING PANTS OR UNDERPANTS OR ANYTHING ELSE UNDER YOUR DRESS,5
YEAH WHAT ARE YOU WEARING,4
UNDIES OKAY WHAT DO YOU MEAN BY WINI BECAUSE PEOPLE USE DIFFERENT NAMES FOR DIFFERENT PARTS OF THEIR BODY WHAT DO YOU MEAN WITH YOU WINI,4
YOUR WHAT SORRY,13
YOUR PRIVATE OKAY ALL RIGHT SO I'M A LITTLE BIT CONFUSED IF YOU'VE GOT UNDIES ON HOW DOES HE GET TO SEE YOUR WINI,4
OKAY SO TELL ME ABOUT HOW YOU SHOWED HIM,3
YEAH OKAY ALL RIGHT SO HE GOES FIRST AND THEN IT'S YOUR TURN AND SO TELL ME MORE LUCY ABOUT HOW IT'S YOUR TURN AND THEN BETWEEN WHEN IT'S YOUR TURN AND THEN WHEN HE SAYS NOT TO TELL ANYONE CAN YOU TELL ME EVERY TELL ME EVERYTHING THAT HAPPENS THEN,5
YEAH TELL ME EVERYTHING THAT HAPPENS BETWEEN WHEN IT'S YOUR TURN AND THEN WHEN HE SAYS NOT TO TELL,2
OH OKAY HOW DO YOU PULL YOUR UNDIES DOWN,4
YEAH IS THAT LIKE WITH YOUR HANDS OR WITH SOMETHING ELSE,6
YOUR HAND YEAH ALL RIGHT SO WHAT NEXT WHAT HAPPENS NEXT,1
OKAY AND WHAT THEN,1
