Question,Label
"Can you describe what occurred after that?",0
"Could you share everything that took place after that?",0
"Could you explain in detail what occurred when the controller got broken?",0
"Can you describe everything that happened today?",0
"What kind of games do you play with your teacher?",0
"Can you go into detail about what happens during show and tell, starting from the very beginning, as if I wasn't there?",0
"Could you please describe everything you remember about show and tell in as much detail as possible?",0
"Can you describe what happened when Mr. Matthews followed you into the cupboard after you put the paints away?",0
"Can you explain everything about what happened?",0
"Could you describe what occurred next?",0
"Can you start from the beginning and tell me about the time he followed you into the cupboard, focusing on the moment when he went first?",0
"Can you tell me what happened next?",0
"Can you continue telling me what happened after that?",0
"Can you describe in detail what happened when he lowered his pants?",0
"Could you describe what happened after that with his underwear?",0
"Could you describe to me what that was like?",0
"Could you describe what you did to show him?",0
"Could you describe in detail everything that happens from when it's your turn until he tells you to keep it a secret?",0
"Can you continue telling me what happened after that moment?",0
"What happened after that?",0
"Can you share with me all the details you can recall about what happened?",0
"Can you share with me all the details that you can recall?",0
"Could you share what took place after you got into bed?",0
"What would you like to discuss with me today?",0
"Could you describe what occurred after that?",0
"Can you describe what took place next?",0
"Alright, after he invited you to join him in the spa, can you describe everything that took place next?",0
"Could you describe what took place once you entered the spa with Janet and her grandfather?",0
"Could you describe what took place next?",0
"Can you describe what occurred following the feeling of a hand on your private parts?",0
"Can you describe what occurred after you relocated?",0
"After preparing fairy bread with Janet, can you describe what you did next?",0
"Could you explain what occurred after your mom came to pick you up?",0
"What would you like to share with me about why you're here today, Hilary?",0
"Could you describe Janet's house to me?",0
"Could you describe the inappropriate incident?",0
"Can you describe what happened next after he behaved inappropriately?",0
"Can you describe what happened after that?",0
"What did you experience following that event?",0
"Could you describe in detail everything that occurred from the beginning to the end when Pop behaved inappropriately?",0
"CAN YOU SHARE WITH ME EVERYTHING THAT OCCURRED FROM START TO FINISH WHEN GRANDPA WAS INAPPROPRIATE?",0
"What took place next?",0
"Can you describe what occurred next?",0
"Can you tell me what occurred after that?",0
"Could you explain everything that occurred after the incident with your private parts?",0
"What occurred next in the sequence of events?",0
"AFTER HM-HM HELD ON TIGHTLY, CAN YOU DESCRIBE WHAT OCCURRED NEXT?",0
"Can you describe what happened next?",0
"What more can you share about the game?",0
"Could you describe everything that occurs when you're inside the tunnel?",0
"Can you describe what else goes on when you're in the tunnel?",0
"Can you describe that further, Isabelle?",0
"Can you describe what you didn't like and explain what happened afterward when he did that?",0
"Can you explain further what happened after that?",0
"What happened next after he did that?",0
"Could you describe what occurred next after that?",0
"Could you describe in detail what you did after arriving home?",0
"What would you like to discuss with me today, Jessica?",0
"Can you start at the beginning and share everything that happened?",0
"Could you describe everything that happened next?",0
"Can you describe what occurred when you went to the bathroom?",0
"What occurred after the man helped you clean up?",0
"Could you describe everything that took place after he took off?",0
"Could you describe everything that happened to you?",0
"Could you describe what happened next?",0
"Can you describe in detail what he was doing with his hand when he touched you?",0
"What would you like to share with me about your visit today?",0
"Could you describe everything about your cousin to me?",0
"Could you share more details about what happened?",0
"Can you describe in detail what occurred?",0
"Can you describe everything that occurred when you got home from school with your cousin, as thoroughly as possible?",0
"Could you describe what took place after that?",0
"Can you describe anything else that took place?",0
"Can you describe everything else that took place?",0
"Can you describe what occurred next?",0
"Can you describe what occurred next?",0
"Can you share more details about the time your cousin was causing you harm?",0
"Could you tell me more about what else took place?",0
"Can you describe what happened next?",0
"Could you describe what took place after that?",0
"Can you describe what happened next?",0
"Could you describe what happened next?",0
"Could you explain in detail what you saw when there was blood on the stick?",0
"Can you describe what occurred next?",0
"Could you describe what took place next?",0
"Can you describe in detail what happened when everything became dark?",0
"Can you describe what occurred next?",0
"Can you describe in detail how you felt when you were afraid to leave the house?",0
"Could you describe in detail the part when he spoke unkindly to you?",0
"Can you describe anything more that took place?",0
"Could you describe to me what occurred next?",0
"Could you describe what took place next?",0
"Could you describe what occurred next?",0
"Can you describe what happened next?",0
"What would you like to share with me today?",0
"Could you describe what occurs after that?",0
"What can you share with me about why you've come to speak with me today, Millie?",0
"Could you describe everything that occurred when you visited Callum's house, starting from the very beginning?",0
"Can you describe what else took place at Callum's house?",0
"Could you describe what took place next?",0
"Can you share more details about what took place during your sleepover at Callum's house?",0
"Could you share further details about the thing that happened?",0
"Can you describe everything that happened when Callum did the inappropriate thing?",0
"Could you describe to me everything you noticed about the unclean area you mentioned seeing?",0
"Could you describe what took place following that event?",0
"What would you like to discuss with me today?",0
"Could you share with me everything you remember about your stepdad?",0
"Please share everything you can about Stephen.",0
"Can you describe in detail the kind of games he engages in during bath time?",0
"Could you describe to me all the details about the tickling game?",0
"Could you describe the Mr. Tickles game to me?",0
"Alright, can you describe in detail what he does from the moment he starts acting like Mr. Tickles, beginning with your toes?",0
"Could you describe everything he does when he tickles you?",0
"When he tickles you on your mini, can you describe everything that happens?",0
"Can you share some more details about what happens when Stephen touches you like that?",0
"Could you share more details about Stephen, such as his living arrangement with you and your mom?",0
"Could you describe him in more detail, please?",0
"What would you like to share with me about why you're here today?",0
"Could you describe in detail everything you recall about him, since this is our first conversation and I'd like to understand everything that occurred with him?",0
"Could you describe what happened after that?",0
"Can you describe what occurred next?",0
"Could you describe in detail what happened when he woke you up?",0
"Can you describe what took place next?",0
"Can you start from the beginning and tell me all about what happened with Millie, since I wasn’t there to see it?",0
"Can you describe what occurred following that event?",0
"Could you describe what happened in more detail?",0
"Could you explain in more detail what happened when he was jumping on the mattress?",0
"Can you explain what occurred next?",0
"Could you describe to me what took place afterward?",0
"Could you describe in detail everything you recall about the dirty spot?",0
"Could you describe what occurred next?",0
"Could you describe in detail the moment when he woke you up?",0
"Could you explain to me what occurred when you noticed his unclean area?",0
"Can you describe what more occurred that day?",0
"What occurred when you were asleep?",0
"Could you describe what occurred next?",0
"Could you describe in detail what happened when he showed you his doodle, since I wasn't there to see it?",0
"Could you start by describing everything that occurred when you arrived at his house, from start to finish?",0
"Could you describe to me the moment he offered you ice cream?",0
"Can you describe what occurred next?",0
"Can you describe what occurred following your move with the mattress?",0
"Can you describe what occurred next?",0
"What can you recall about the bad thing he did to you? Please tell me everything you remember.",0
"What more can you share with me about this situation?",0
"Can you describe what happened next?",0
"Could you describe what happened after that?",0
"What happened after that?",0
"Can you describe what took place after that?",0
"Could you describe what took place when he asked you to go to bed?",0
"Can you describe what happened next?",0
"Could you describe what happened next?",0
"What would you like to talk to me about today, Charlotte?",0
"Could you describe what took place involving your stepdad?",0
"Can you describe in detail what occurred while you were playing a game in the bath, starting from the beginning?",0
"Could you describe to me in detail what happened during your bath?",0
"Can you describe what occurred next?",0
"Can you describe what happened after that?",0
"Can you describe what occurred after that?",0
"Could you describe what happened next?",0
"What occurred after that?",0
"Could you describe to me what took place next?",0
"What occurred after that?",0
"What else can you share about the time when he was acting as Mr. Tickles?",0
"Could you describe in detail the moment when he touched you inappropriately?",0
"Can you describe in more detail the part where he was on top?",0
"What happened next after that?",0
"Can you describe what happened in your own words?",0
"Could you describe what happened next?",0
"What would you like to discuss with me today?",0
"What would you like to discuss with me today?",0
"Could you share some more details about your relationship with your stepfather?",0
"Could you describe to me what the tickling game was like?",0
"Could you describe the games you played while you were in the bath?",0
"Can you describe the game with the mermaid?",0
"Could you describe in more detail your experience of playing with Barbies in the bath?",0
"Could you describe to me what happened with your hair?",0
"Can you share more details about the game where you were tickled?",0
"Could you describe in detail what you dislike about the way Stephen tickles you on your mini?",0
"What would you like to discuss with me today, Isabelle?",0
"Could you describe to me what happens during the game with the doctor?",0
"Can you describe to me what occurred after that?",0
"Can you describe what took place next?",0
"Can you describe what happened next?",0
"Can you describe what took place after that?",0
"Could you describe what occurred after that?",0
"When you're ready, could you share all the details about what occurred when your dad pushed you?",0
"What happened after that?",0
"Can you describe what happened next?",0
"What would you like to share with me about why you're here today?",0
"Can you describe everything that occurred with Uncle Gary, starting from the very beginning?",0
"Could you describe everything you observed on the computer and what was taking place?",0
"Could you describe what happened following the time you saw the kissing and touching on the computer?",0
"Could you describe to me what happened when he reached into your pants and touched you?",0
"Could you describe what took place when you expressed your dislike and he laughed?",0
"Could you describe in detail what occurred during that time?",0
"Could you describe what took place just before he lifted you onto his knee?",0
"Could you describe what took place after he requested you to sit on his knee?",0
"Alright, can you describe what occurred after he inserted his private part into your backside?",0
"Could you describe what occurred when you left?",0
"What can you share with me about the incident when he took down your pants and inserted his privates into your bottom?",0
"What took place once your mum came to get you?",0
"Could you explain everything that occurred when you talked to your mom?",0
"Could you describe what took place after you informed your mom?",0
"Could you describe everything that happened the first time you were with Uncle Gary?",0
"What would you like to share with me today, Jessica?",0
"Could you describe everything you remember about the frightening man?",0
"Could you describe what occurred after that?",0
"Could you share everything you recall from the start, especially about the smelly, grey-haired man who entered the restroom?",0
"Can you describe to me what took place after that?",0
"Could you describe everything that occurred after that moment?",0
"Can you explain what happened after you didn’t want to stay inside?",0
"Could you explain in detail what happened with the man who hurt you?",0
"Could you describe what happened next?",0
"Could you describe in detail what happened when he placed your hand on your mini?",0
"Can you describe everything that occurred when the woman entered?",0
"Can you describe what occurred after the bad man left?",0
"What else can you share about what happened next?",0
"Could you describe everything that occurred when you returned to your mom?",0
"What were the things that happened which led you to start crying?",0
"Can you describe more details about the man's appearance, such as his hair color or any other features?",0
"What other details can you recall about the man's appearance besides his big beard?",0
"What can you share about that lady? What do you recollect about her?",0
"Can you share with me what brings you here to talk today, Millie?",0
"Could you describe to me what happened?",0
"Could you describe everything that took place?",0
"Can you describe what happened next?",0
"Could you describe everything you remember from the time you woke up and he started bouncing on the bed?",0
"Could you describe all the details about what you recall?",0
"Alright, could you describe what you mean by 'his thing'?",0
"Could you explain to me what you mean by yucky?",0
"Can you explain what he was doing with it that made you feel uncomfortable?",0
"Could you describe what occurred after he removed his thing from your bottom?",0
"Could you describe everything about Callum?",0
"Could you describe what happened in detail?",0
"Can you describe what occurred next?",0
"Could you start from the start and let me know what you wanted to discuss with me today?",0
"Could you start from the beginning and describe everything that happened when you played doctors with your brother, remembering that I wasn't there?",0
"What unfolded next?",0
"Can you explain what happened with the stick in more detail?",0
"Let's start from the beginning. Can you describe in detail what happens when you're in the tunnel?",0
"Can you describe what happens next?",0
"Could you elaborate on the incident involving the stick being placed in your bottom?",0
"Could you describe in detail what happened when you were down on your knees?",0
"Could you describe what occurred next?",0
"Can you explain what took place following that event?",0
"Can you explain what happened after that?",0
"Could you share everything you know about your brother?",0
"Can you describe in detail what occurred during your game of doctors, as I wasn't there to witness it?",0
"Can you please describe the stick you mentioned earlier in more detail?",0
"Could you share more details about what happened?",0
"Could you describe what happens when he uses his fingers in your private area?",0
"Can you describe in detail the most recent occasion when he tickled you?",0
"What would you like to discuss with me today?",0
"Can you describe all the events that took place during the incident, remembering that I wasn't present, so begin from the start?",0
"Can you describe what happened next?",0
"Could you describe what occurred after that?",0
"Could you describe what occurred afterwards?",0
"Could you explain what occurred after that?",0
"Could you describe what occurred after that?",0
"Could you describe what occurred after that?",0
"Could you describe what took place following that?",0
"Could you go on and explain what happened next?",0
"Can you describe what took place next?",0
"Harry, you mentioned seeing some rude people on the screen with Uncle George. Could you describe everything that took place? Keep in mind I wasn't present, so start from the beginning and tell me all the details.",0
"Can you tell me more about what else occurred?",0
"Could you describe everything that happened with Uncle George from the start, as if I wasn’t there?",0
"Can you describe what occurred next?",0
"Can you describe what happened next?",0
"Can you describe what occurred next?",0
"Could you share everything about why you are here to talk with me today?",0
"Can you tell me more about what happened?",0
"Could you describe in detail the moment when you misbehaved?",0
"What happened next?",0
"Could you explain in more detail about the moment when he asked you to touch his stick?",0
"Can you share anything more with me?",0
"Can you describe anything else that occurred during the time when he told you to touch his stick?",0
"What happened after that?",0
"What occurs after that?",0
"What occurred following that event?",0
"Could you describe in detail what occurs when you lift your dress, starting from the very beginning?",0
"What happened next?",0
"What did you see occur after that?",0
"What occurs after that?",0
"What occurred after that?",0
"Can you describe what happens next?",0
"What happens next?",0
"What do you believe we're here to discuss today, Sean?",0
"Can you describe what occurred after that?",0
"Could you describe what occurred next?",0
"What happened after you went to the bathroom?",0
"Could you explain what occurred after he informed you that you needed to visit the cubicle individually?",0
"What occurred after he made that comment?",0
"Could you describe what occurred after you entered the cubicle with Sam?",0
"Could you describe what happened next?",0
"Can you describe what happened next after he squeezed it so many times?",0
"What happened after that?",0
"CAN YOU DESCRIBE WHAT OCCURRED NEXT AFTER HE SPOKE THOSE WORDS?",0
"All right, can you tell me what happened after he said that? Did he stop or did something else occur?",0
"What did you do after you left the bathroom?",0
"What happened next?",0
"Can you describe what occurred after that?",0
"Can you walk me through everything that happened when you reached the monkey bars?",0
"What would you like to discuss with me today, Hilary?",0
"Could you describe what Janet's house is like for me?",0
"What can you share with me about the time at Janet's house?",0
"Could you describe everything that took place?",0
"Could you share everything you remember about the unpleasant event?",0
"Can you describe what occurred next?",0
"Could you describe what else took place when Pop did the wrong thing?",0
"Could you describe to me in detail what he was doing?",0
"Can you describe what happened next?",0
"Could you describe in detail what happened when his fingers were moving around your private areas?",0
"Can you describe in detail what happened when you and Janet were splashing around?",0
"Could you share additional details about what happened in the bubble pool?",0
"Can you describe what else occurred while you were in the bubble pool?",0
"Can you explain more about the part where you mentioned you didn't speak up?",0
"What occurred after that?",0
"What happened after that?",0
"Can you describe how it feels when you're uncomfortable down there?",0
"What more can you share about what happened during the incident?",0
"What would you like to share with me today, Alan?",0
"Could you share all the details about what happened with your neighbor?",0
"What can you recall about playing hide and seek?",0
"Can you share more details about what happens when you play after you get home from school, especially when you try to avoid him?",0
"Could you describe in detail the moment when you mentioned having to complete a dare?",0
"Could you describe what occurred afterwards?",0
"Can you describe what happened after that?",0
"Can you share everything you experienced with Jack?",0
"Could you explain to me what you do just before starting a game of hide and seek?",0
"Could you share everything you can remember about when he makes you take your pants off, starting from the beginning, Alan?",0
"Could you describe what occurs after he grips it so firmly?",0
"Could you share what happened after you told him you didn't like it?",0
"What can you share with me about the games you played?",0
"Can you describe the dance you perform for me?",0
"Alright, so when he does this, can you describe what happens next?",0
"Okay, so when you tell him you’re not interested in playing, what happens next?",0
"Can you describe what happens next when he squeezes it forcefully?",0
"Could you please share everything you remember from the start, since I wasn't present and would like to hear everything you can recall?",0
"Can you describe everything that took place during the spaghetti incident?",0
"Could you describe to me what occurred?",0
"What took place after your father mentioned that?",0
"Can you describe what occurred after your dad hit your mom on the cheek?",0
"Can you describe what occurred following the moment when dad hit mum on the head?",0
"Can you describe what took place following what your dad said?",0
"Can you explain what occurred after he seized your arm around your shoulder and pushed you?",0
"Can you describe what occurred after your head made contact with the table?",0
"What occurred once you were seated in the chair?",0
"What are you here to discuss with me today?",0
"Can you describe what happened with the bad man?",0
"Can you describe what occurred after that?",0
"Could you describe what happened next?",0
"Could you describe what happened next?",0
"Could you describe what took place next?",0
"Could you describe what took place afterwards?",0
"Could you describe what happened?",0
"Can you walk me through what happened next?",0
"Could you describe what he said about needing to assist you in more detail?",0
"Could you describe what happened in further detail?",0
"What occurred after he left? Could you describe what happened next?",0
"Could you describe that to me?",0
"Can you elaborate on what happened?",0
"Can you describe what took place next?",0
"What would you like to share with me today, Hilary?",0
"Could you describe what occurred the last time you were with your uncle?",0
"Could you describe what occurred after that?",0
"What do you remember happening next?",0
"Could you describe what took place next?",0
"What can you share about everything that took place from the beginning to the end?",0
"Could you describe what took place after that?",0
"Could you describe what occurred next?",0
"Could you walk me through what happened after that?",0
"Can you describe what occurred next?",0
"Could you describe in detail the time you showed you pictures on the computer?",0
"CAN YOU TELL ME WHAT HAPPENED NEXT",0
"Could you describe in more detail the time when he said he wanted to show you a new game?",0
"Could you describe what occurred next?",0
"Can you describe what happened next?",0
"Could you continue by describing what occurred afterward?",0
"How did the situation unfold when you started feeling upset?",0
"Can you describe what occurred following that event?",0
"Could you describe what occurred next?",0
"Can you describe what occurred afterward?",0
"Could you describe what took place following that event?",0
"Can you elaborate on the moment he touched your private area?",0
"Can you describe what occurred after that?",0
"What would you like to discuss with me today?",0
"Can you share everything you know about the Grade 6 boy I haven't met yet?",0
"Could you describe him in more detail for me?",0
"Can you share some more details on that and who you were with?",0
"Could you describe the game for me?",0
"Can you describe in more detail what Ben did with his hand on your private parts?",0
"Could you describe for me how one of them appeared?",0
"Alright, earlier you mentioned that Harry and Ian entered the cubicle as well. Can you tell me more about that?",0
"Hey Isabelle, can you share with me what brought you here today?",0
"Can you describe everything that occurred when you were with your brother?",0
"What activities do you do with your brother when you're at the park?",0
"Could you tell me what happened next?",0
"Can you describe what else took place?",0
"Could you describe everything you remember about the doctors?",0
"Could you describe what took place while you were playing doctors?",0
"Can you describe what occurred afterwards?",0
"Can you describe what happened in your own words?",0
"Could you describe everything else that occurred?",0
"Could you describe in detail the moment when he made you get on your knees and used the stick on you?",0
"Could you explain in more detail the part that was particularly painful?",0
"Could you describe in detail what happened when he moved it back and forth?",0
"Can you describe what occurred after that?",0
"Could you describe in more detail the moment when he asked you to kneel?",0
"What other things took place when he had you kneel down?",0
"Can you describe everything that occurred after you began to cry?",0
"Can you share what happened next?",0
"Could you describe in more detail how it felt when you mentioned it was painful?",0
"Could you share whatever details you recall about your time in the tunnel at the park?",0
"What would you like to discuss with me today, Isabelle?",0
"What else can you share about the activities you were involved in?",0
"What can you tell me about when he suggested playing the new game in the tunnel?",0
"Can you tell me more about what else occurred besides having no broken bones?",0
"Could you describe everything else that took place during that time?",0
"Could you describe everything that happened in as much detail as possible?",0
"Could you describe what occurred next?",0
"Could you share more details about what happened?",0
"Could you describe everything you remember about the stick?",0
"Could you describe what you felt concerning the temperature situation?",0
"What more can you share about what takes place in the tunnel at the park?",0
"What would you like to discuss with me today, Isabelle?",0
"Can you describe in detail the incident that occurred with your brother?",0
"Could you describe in detail the new game you played that was called Doctors?",0
"Could you describe to me what occurred after you were acting as the patient?",0
"What events followed?",0
"Can you describe in detail the moment when he used the thermometer on you?",0
"I want you to describe to me everything that happened with Johnny, especially what caused him to feel so much pain.",0
"Can you describe what occurred after you arrived home and started playing there?",0
"What are some of the enjoyable aspects of playing with your brother?",0
"Could you describe everything that goes wrong when you play with your brother?",0
"What are the moments when you feel safe around your brother?",0
"Can you describe what occurred after your mom agreed?",0
"Could you describe what occurred after that?",0
"What happened next, can you tell me?",0
"Could you describe what occurred after that?",0
"Can you describe what occurred after that incident?",0
"What would you like to share with me about your visit today?",0
"Can you explain everything that occurred during your play date with Janet, starting from the very beginning?",0
"What more can you share about the incident?",0
"Can you describe anything else that took place?",0
"Could you describe in detail the moment when Pop was pointing the hose at you?",0
"Can you describe what occurred after that?",0
"Can you describe what occurred after that?",0
"Could you describe what happened next?",0
"Could you describe everything that happened when you went swimming in the spa, starting from the beginning and including as many details as you can remember?",0
"Can you describe what occurred when someone touched you inappropriately?",0
"Can you describe what occurred next?",0
"Could you describe in detail the moment you noticed a hand on your private area?",0
"Could you describe in detail the situation when someone's hand was on your swimming costume?",0
"Could you describe what happened when he pushed the hand away?",0
"Could you describe in detail what you noticed when you realized it was Janet's dad's hand?",0
"Can you describe in detail what happened when Janet's pop was very near to you, remembering that I wasn't present?",0
"Could you describe what took place after that?",0
"Could you continue by telling me what happened after that?",0
"Can you describe what occurred next?",0
"Can you describe what took place following what Dad did?",0
"Can you describe what occurred next?",0
"What would you like to share with me about your visit today, Millie?",0
"Could you describe your cousin to me?",0
"Could you describe what occurred with Callum?",0
"Could you describe to me what took place in the bedroom?",0
"Can you describe what occurred when he removed your pajamas?",0
"Could you describe in detail what occurred when something went into your bottom?",0
"Can you describe that dirty place to me?",0
"Can you describe what occurred after he did that?",0
"Could you describe what happened?",0
"Could you describe what occurred following that event?",0
"What would you like to discuss with me today?",0
"Please share all that you remember about your stepdad and what you've come here to discuss.",0
"Could you describe in detail what happens during the mermaid game?",0
"Can you describe what happened during your swimming game?",0
"Could you share everything you remember about him tickling you?",0
"Can you describe in detail the times he tickles you on the outside of your mini?",0
"What can you share about what occurs when he moves closer?",0
"What more can you share about what has been happening?",0
"What things usually happen after you leave the bathtub?",0
"Can you share some more details about your stepdad?",0
"What more can you share with me about the games involving tickling?",0
"Who else have you shared details about the tickling game with?",0
"CAN YOU SHARE MORE DETAILS ABOUT YOUR CONVERSATION WITH TAMMY?",0
"Could you describe in detail what Stephen does while you're taking a bath?",0
"Could you explain in detail what activities he uses his hands for?",0
"Can you describe in detail how he uses his fingers?",0
"Could you explain in more detail about your mom?",0
"Could you explain everything that happened with hide and seek, starting from the very beginning?",0
"Could you describe what happened with Jack in more detail?",0
"Could you describe more about the time you and Jack played games together?",0
"What else can you share about the hide and seek games you and Jack play?",0
"Could you describe the part where you mentioned the dares?",0
"Could you go back and explain more about what happened during the rude dare?",0
"Could you describe what happened next?",0
"Could you describe what took place next?",0
"Can you tell me in detail what happened when Jack told you to take off your pants, Alan?",0
"Can you describe in detail what happened the day you played that hide and seek game?",0
"Could you describe everything you remember about the moment when he touched you on your doodle?",0
"Could you describe what occurred next?",0
"Can you explain more about the moment when he used his hand on your doodle?",0
"Can you describe everything that happened when you played hide and seek near the shed?",0
"Could you explain more about the moment when you took your pants off?",0
"Could you describe the reasons for your visit with me today, Sarah?",0
"Could you explain in detail what happened with your cousin?",0
"When you're ready, please share everything you want to discuss about your cousin Mark with me.",0
"Could you describe in detail the hurtful things he mentioned to you?",0
"Can you describe what occurred next?",0
"What happened after that?",0
"Can you continue by telling me what occurred next?",0
"Can you describe what happened after that?",0
"Can you describe what occurred after that?",0
"Could you describe in detail what occurred when he instructed you to go to your room?",0
"Can you describe in detail what happened after you removed your dress since I wasn't present then?",0
"Could you describe what happened while you were on your bed?",0
"Could you describe in detail what occurred when he halted?",0
"What happened when you woke up the following morning?",0
"Could you describe everything that took place when you arrived at school?",0
"What happened next?",0
"Could you describe what happened next?",0
"Can you share with me what happened?",0
"What would you like to discuss with me today, Isabelle?",0
"Could you describe in detail the difficult experience you had with your brother?",0
"What can you share about the new game called Doctors?",0
"Could you describe what happened after you pretended to be the patient?",0
"Can you describe what occurred afterwards?",0
"Could you describe in detail the moment when he used the thermometer on you?",0
"Could you describe what happened when you went home and played in your room with the thermometer, Isabelle?",0
"What happened with Johnny? Can you share all the details about him?",0
"What else can you share about what occurred once you got home and played?",0
"What are some things you enjoy about playing with your brother?",0
"What are all the things that happen when you play with your brother that you don't like?",0
"Could you describe every situation where you feel secure around your brother?",0
"What would you like to discuss with me today, Jessica?",0
"Can you describe everything about the man who hurt you?",0
"What else can you share about your time at the swimming pool?",0
"What happened after that?",0
"Could you continue and tell me what happened next?",0
"Could you describe what occurred next?",0
"Could you describe in detail what occurred when the intruder entered?",0
"Can you describe what happened when he mentioned he needed to assist you with wiping?",0
"Could you describe what happened when his hand was between your legs?",0
"Can you describe what occurred next?",0
"Could you describe that woman in more detail?",0
"Can you describe in detail what the woman told you?",0
"Can you describe what occurred next?",0
"Can you describe what happened with the man who hurt you?",0
"Could you share more details about your memories of the man?",0
"Can you describe in detail what his brown hair is like?",0
"Could you describe his blue shorts in more detail?",0
"What other details can you recall about the man who hurt you?",0
"Can you describe in detail what happened with the thongs?",0
"What happened when he entered the cubicle?",0
"Could you describe what occurred next?",0
"Could you describe in detail what happened when he touched you on your private area?",0
"What more can you share about the way he touched your mini?",0
"Can you describe in detail what you noticed about his hand?",0
"Could you describe what happens when your mom gets upset?",0
"Can you explain to me why you are here to talk with me today, Sarah?",0
"Can you describe the large stick to me?",0
"Hi Lucy, can you share with me what brought you here to talk today?",0
"Could you describe everything you know about Mr. Matthews since I wasn't around when he was mentioned?",0
"What more can you share with me about Mr. Matthews?",0
"Could you describe what it's like when Mr. Matthews is instructing you in art?",0
"Could you describe in detail what happened as you were putting the paints away?",0
"Can you describe that situation more fully?",0
"Could you elaborate further on the dare?",0
"Could you share more details about what happened?",0
"Could you start by explaining what happened with the dare and how he began?",0
"Can you describe what occurs after he takes the lead?",0
"Can you describe what took place after that?",0
"What happened next?",0
"What happened next?",0
"Can you describe what happened next?",0
"Could you explain what occurred next?",0
"What happened next after that?",0
"Can you describe what occurred next?",0
"Can you describe in more detail what happened in the cupboard?",0
"Could you describe more about what you recall regarding the cupboard?",0
"What can you share about the times you've been inside the cupboard?",0
"Would you mind sharing more details about the time when Mr. Matthews took you to the cupboard?",0
"What occurs next once he comes in after you?",0
"Could you share more details about what happened during show and tell?",0
"Could you describe everything that brought you here to talk to me today?",0
"Could you share more details about the man who hurt you?",0
"Could you describe the place where you first encountered the man who hurt you?",0
"Could you describe what took place next?",0
"What took place after those events?",0
"What happened next?",0
"Can you describe what occurred after that?",0
"Can you describe what occurred after that?",0
"Can you describe what occurred once you began to cry?",0
"Could you describe what your next actions were after that?",0
"What occurred following your conversation with her?",0
"Could you describe what happened next?",0
"Can you describe what occurred after you informed your mom?",0
"What would you like to share with me about your visit today?",0
"Could you describe everything that occurred with Uncle George right from the start?",0
"Can you share more details about the game played by the older kids?",0
"Tell me everything you remember about that particular day playing the big boys' game, as I wasn't there and need you to explain what happened.",0
"Can you describe what occurred after you encountered those rude individuals?",0
"What happened after the older kids played their game?",0
"Can you describe in detail what happened when he put his hand inside your underwear?",0
"Can you describe what happened next?",0
"What didn't you like about the big boys' game, and what more occurred during it?",0
"Can you share more details about what else occurred?",0
"Could you describe more about the time outside when he put his hand in your pants?",0
"Can you describe everything that occurred after he squeezed your fingers on your private area?",0
