Question,Label
"Was someone else at Uncle George's house when you visited that day?",1
"When he squeezed your private area so forcefully, did it make you cry?",2
"Could you describe the duration he held onto your private area?",0
"Did Uncle George mention something when it occurred?",1
"Have you been around Uncle George after that time?",1
"How are you feeling at this moment?",0
"Do you have any other important details you can share with me?",1
"Do you have anything you would like to ask me?",1
"YOU DID FEEL SAFE WHEN WE HAD OUR DISCUSSION, DIDN'T YOU?",2
"What would you like to discuss with me today, Jessica?",0
"Could you please tell me everything about the bad man, starting from the beginning?",0
"Did something unpleasant happen to you when you were around your brother?",2
"Did the encounter with the bad man begin in a particular way?",1
"Could you describe everything that happened when you met the man who caused trouble?",0
"Could you please describe everything that occurred at the Kmart restroom, starting from the very beginning?",0
"Wouldn't it be true to say something unpleasant happened when you were with your brother?",2
"Can you describe what took place next?",0
"Did something troubling occur when you were with your brother?",2
"Could you describe what more occurred?",0
"Did something troubling occur while you were with your sibling?",2
"Did something happen when you were with your sibling?",2
"Can you describe what occurred after that?",0
"Was there an unpleasant experience when you were with your sibling?",2
"Can you share more details about what happened when you entered the bathroom?",0
"Was there something troubling that occurred when you were with your sibling?",2
"Can you describe in detail what happened when the bad man entered the room?",0
"Did something wrong happen to you while you were with your brother?",2
"Could you describe what happened next?",0
"Did your brother do something wrong to you?",2
"Could you describe what took place after that, Jessica?",0
"Did something possibly happen to you while you were on your mini?",2
"Can you describe what took place after that?",0
"Could you describe in detail what happened with the woman who came in?",0
"Did something unpleasant occur when you were with your sibling?",2
"Could you describe what occurred after that?",0
"Could you please describe in more detail the moment when he placed his hand on your mini?",0
"Did something happen that you didn't like when you were with your sibling?",2
"Alright, Jessica, can you tell me any alternative names for mini?",1
"Did something trouble you when you were with your sibling?",2
"Were you touched inappropriately in your private areas?",2
"Could you go ahead and describe everything that took place when the woman entered?",0
"Did something unpleasant happen when you were with your sibling?",2
"Could you describe what occurred after he mentioned that he was the assistant?",0
"Would you say that your time with your brother was unpleasant in some way?",2
"Did something unfortunate occur when you were with your brother?",2
"Could you describe in detail what happened with the person who hurt you?",0
"Was there something negative that occurred while you were with your sibling?",2
"Did something unpleasant occur when you were with your brother?",2
"What would you like to share with me today, Jessica?",0
"Is he called the bad man because of something specific he did?",1
"Are you able to describe what took place?",1
"YOUR MOM MENTIONED YOU VISITED KMART RECENTLY, IS THAT TRUE?",1
"Did you go to Kmart with someone, and if so, who was it?",1
"Did your mother mention that you went to the bathroom while at Kmart with your brother and her?",1
"Did you happen to bring someone with you into the bathroom?",1
"Can you explain to me what took place when you entered the restroom?",0
"Is this the man you were describing who followed you in?",1
"Were the toilets located towards the back or front of Kmart, do you recall?",1
"Did you notice the man before you entered the restroom, near the baby clothes?",1
"Did a man follow you into the restroom area or into the individual stall?",1
"Did the man speak to you when you were inside the bathroom?",1
"Do you recall anything specific about what he mentioned?",1
"Was it something specific that he told you?",1
"Was this man the one assisting with the toilets, and can you recall what he looked like?",1
"Can you picture him for me or recall his appearance and what he was dressed in?",1
"Was he wearing something specific?",1
"Was he wearing anything specific on his legs when he had the big green coat on?",1
"Were there any details about the coat that you recall besides its green color?",1
"Do you recall if there was any writing on it, and can you describe it to me?",1
"Can you describe what took place after he spoke to you in the bathroom?",0
"Did you have to use the bathroom where this man could see you?",1
"Was everything fine while he was present when you went to the bathroom?",1
"Did you mean that he assisted you in cleaning up somehow?",1
"Are you talking about a small car, like a Mini Cooper?",1
"Did he do anything besides touching you, or was there nothing else?",1
"ALL RIGHT, DO YOU KNOW HOW LONG HIS HAND WAS ON YOU WHEN HE WAS TOUCHING YOU?",1
"Did it feel like it lasted a long time or was it over quickly?",1
"Was he assisting you with cleaning up for a while?",1
"Did you need to go pee or poop?",1
"Did he use toilet paper for that, or did he skip using any toilet paper?",1
"Did he touch you on the inside as well, or was it only on the outside when he didn't use toilet paper and touched you for a long time?",2
"Could you describe everything that occurred after that event?",0
"Did a woman enter the room?",2
"Was the lady doing something specific?",1
"Did she ask if you were alright when you noticed both you and the man in the restroom?",1
"Was the bathroom door open or shut during the incident?",1
"Did she see you inside there when it was closed?",1
"Did the man react in any way when she made that statement?",1
"Did he talk to her in any way that you can recall?",1
"When the woman came in and checked if you were alright, was the man leaving at that moment?",2
"Did you happen to speak with the woman?",1
"Did you stay silent when she asked if you were alright?",1
"What happened next after that?",0
"After returning to your mum, did you talk to her about what occurred?",1
"Do you recall what you told your mom?",1
"Did you mention something specific?",1
"Were you able to recall what clothes you had on when you visited the restroom, Jessica?",1
"Were you wearing something specific at the time?",1
"Was your dress okay, and what color was it?",1
"Was the pink plain, or did it have any designs or images on it?",1
"Did you inform your mom about the man who went into the restroom after you?",1
"Did you notice anything specific about the man besides his green jacket?",1
"Was he of tall stature or was he rather short?",1
"Did he seem tall to you, and can you estimate his age?",1
"Was there any facial hair on his face that you can recall?",1
"Can you describe where exactly it happened?",0
"Did he have facial hair in any other areas?",1
"Was the hair on his chin short or long?",1
"ALRIGHT, WOULD YOU SAY IT RESEMBLED A BEARD OR WAS IT MORE LIKE JUST SOME STUBBLE?",1
"Did he have a beard, and if so, what color was it?",1
"Was his hair grey, like you mentioned, or did it look different?",1
"Was his hair long or short, can you recall?",1
"Was his hair entirely grey, or did it have a different color?",1
"Did something happen when you encountered the color grey?",2
"Was all his hair still on his head?",1
"Was his hair quite short, or maybe a bit longer, or do you recall how it appeared?",1
"Was he in a large green jacket, and were his arms visible to you at all?",1
"Did you happen to see any tattoos or marks on him?",1
"Did he wear any jewelry, like earrings or other piercings, anything like that you can recall?",1
"Did you notice the color of his eyes?",1
"Were they a particular color that you remember?",1
"His eyes were blue, and he had gray hair with a short beard on his chin, didn’t he?",2
"Were you able to recall the color of his skin?",1
"Do you usually play games or do activities with your cousin?",1
"Did something happen to you while you were with your sibling?",2
"What can you share about your time staying at your cousin's place?",0
"Can you describe what happened the last time you slept over at your cousin's house?",0
"Was it the case that he disturbed your sleep during the night?",2
"Are you able to tell me what occurred next?",1
"Was there an incident when you were around your sibling that made you feel uncomfortable?",2
"Can you go ahead and describe what happened after something happened with your bottom?",0
"Did something else occur?",1
"Did he insert an object into your bottom and remove it before repeating the action several times?",2
"What happened after that?",0
"Could you describe everything that happened when he had the soil on his hand?",0
"YOU MENTIONED EARLIER THAT HE PUT SOMETHING IN YOUR BOTTOM. CAN YOU DESCRIBE EVERYTHING ABOUT THAT INCIDENT?",0
"Could you describe everything that happened when he had the dirty spot on his hand?",0
"Was there a specific place on him that seemed unclean?",1
"Was there a particular mark on him you can describe?",1
"Were you feeling something similar to what you've described, or was it different in some way?",1
"Were you able to see exactly what and where the dirty spot was?",1
"Are you able to share some details about that?",1
"Can you describe what happened after he had his pants down?",0
"Were you thinking it was both large and disgusting?",1
"Did he mention anything to you?",1
"Did you tell him anything?",1
"Could you tell me what occurred once you began to cry?",0
"WHEN YOU MENTIONED THAT HIS DIRTY SPOT WAS VERY LARGE, DID YOU MEAN IT WAS ALSO LONG AND HARD?",2
"Did it look disgusting, and what color was it?",2
"Is there another name you know that might be used for that dirty mark on his skin?",1
"Is there another name that people use for it?",1
"Did he do something to your behind, and you mentioned his private part being involved?",2
"Did he put something inside your bottom?",1
"Are you referring to a specific area when you say bottom?",1
"Was something unpleasant done to you?",2
"Has your cousin ever done something like this to you before?",1
"Did you inform anyone about it?",1
"Did anyone witness what occurred when you informed your mom?",1
"Was your mum in the house or somewhere else when it took place?",1
"Was anyone else present in the house while she was at home?",1
"Were they in the house or outside?",1
"Did your cousin keep quiet and not talk to you about it?",1
"Did you choose not to tell him anything?",1
"Did you inform your mum about it?",1
"Are you here to talk to me about something specific, Sarah?",1
"Are we discussing something specific today?",1
"Is your back alright or does it hurt?",1
"Is it painful, and can you explain how it became like that?",1
"I HEARD YOU HAVE SOME BRUISES ON YOUR BACK, ISN'T THAT TRUE, AND I'M WONDERING IF THEY'RE CAUSING YOU SOME PAIN?",2
"Do you know how those marks appeared?",1
"Was it a stick that someone used to hit you?",1
"Was it your mom or dad who used the stick on you?",1
"Was it Mark who hit you with the stick, and can you describe what happened when he did?",1
"Can you describe what occurred after that?",0
"Did he mention that you found yourself in a difficult situation?",2
"Were you aware of the reason you were in trouble?",1
"Are you able to share what happened?",1
"Were you in trouble because of a specific reason you mentioned earlier?",1
"Did someone end up damaging the control?",2
"Was it a physical or verbal type of control?",1
"Did Mark hit you with a stick because you broke the Nintendo controller?",1
"Were you inside or outside when he hit you with the stick?",1
"Was someone else at home when you were in your bedroom?",1
"Were you in the bedroom for a specific reason that you can recall?",1
"Was there a reason for that?",1
"Did anything occur following the moment he struck you with the stick?",1
"Were you able to tell me what occurred?",1
"Was he going somewhere you’re aware of?",1
"Was he heading to a specific place?",1
"Did you have any conversation with Mark about the bruises afterwards?",1
"Did you tell anyone else about the bruises?",1
"Did you show it to anyone?",1
"THE NURSE MENTIONED YOU WEREN'T COMFORTABLE DISCUSSING THE MARKS, WAS THERE A REASON FOR THAT?",2
"Did Mark tell you anything at the time he hit you?",1
"Did he tell you something specific?",1
"Could you share everything that took place after that?",0
"HOW OFTEN DID HE HIT YOU?",1
"Have there been many instances?",1
"IS THIS THE SOLE OCCURRENCE WHEN HE HAS STRUCK YOU?",1
"Was the hitting for a short while or did it last a longer time?",1
"Did he tell you where the stick was from?",1
"Is Mark a friend or a relative?",1
"Do you happen to know what age Mark, your cousin, is?",1
"Is he older or younger than you?",1
"Are they bigger than you?",1
"Is he younger or older compared to your parents?",1
"Is Mark's home nearby or farther away?",1
"WAS THERE ANYONE ELSE PRESENT AT HOME WHEN HE STRUCK YOU",1
"Did anyone else notice the bruises?",1
"Does something make you want to say no?",1
"Could you explain in detail what occurred when the controller got broken?",0
"Did someone hurt you when you were with your brother?",2
"Was everyone else away when you were at home alone?",1
"Was Mark with you at work for a particular reason?",2
"Did Mark get upset with you because you broke the Nintendo controller, and then hit you with a stick repeatedly after you went to the garden?",1
"Did I forget to ask you something important that you want to share?",1
"Can you describe everything that happened today?",0
"Are you thinking about your teacher now?",1
"When you're with your teacher, do you not enjoy playing games?",2
"What kind of games do you play with your teacher?",0
"Did you have to reveal something when they asked?",2
"Can you go into detail about what happens during show and tell, starting from the very beginning, as if I wasn't there?",0
"DID I MISS SOMETHING JUST NOW WHEN YOU SPOKE?",2
"Were you hurt when you were with someone?",2
"Would you say that's correct?",1
"Could you please describe everything you remember about show and tell in as much detail as possible?",0
"Is he your brother or someone else?",1
"Is your teacher named Mr. Smith or Mr. Johnson?",1
"Can you describe what happened when Mr. Matthews followed you into the cupboard after you put the paints away?",0
"Did he follow you into the cupboard and mention something about teaching you show and tell?",1
"Can you explain everything about what happened?",0
"Is it his turn to go first, and what happens afterward?",1
"Is it your turn next, and what do you do after that?",1
"WHEN HE SAYS HE'S GOING FIRST AND THEN IT'S YOUR TURN, AND WARNS YOU TO KEEP IT SECRET OR YOU'LL GET IN TROUBLE, SOMETHING WRONG HAPPENED, DIDN'T IT?",2
"Could you describe what occurred next?",0
"Can you start from the beginning and tell me about the time he followed you into the cupboard, focusing on the moment when he went first?",0
"Can you tell me what happened next?",0
"Did he follow you into the cupboard and then pull down his pants to show you his willy, is that correct?",1
"Can you continue telling me what happened after that?",0
"Did someone make you lift your dress up, or did I cut you off when you were telling me about it?",2
"Did I get everything right, or is there anything you need to correct for me?",2
"When he followed you into the cupboard, did he pull down his pants and show you his private area, and then you lifted your dress to show him yours, is that correct?",2
"Can you describe in detail what happened when he lowered his pants?",0
"Could you describe what happened after that with his underwear?",0
"When you mentioned that he leads, could you explain that a little further for me?",1
"Could you describe to me what that was like?",0
"Did he first show you his private part before you showed him yours?",1
"Did I not understand correctly?",2
"When you say he goes first, do you mean he starts before you?",1
"Were you saying it's your turn, or is there something else you meant by that?",1
"Are you able to describe in detail how you demonstrate your wini to him?",1
"Is it the same thing or different?",1
"Did someone hurt you when you were with your sister?",2
"When he sees your private parts, how does that happen?",2
"Are you dressed in pants, undergarments, or something different beneath your dress?",1
"Are you wearing a specific outfit right now?",1
"Are you asking if wini refers to a specific part of the body, since people have various names for body parts?",1
"Did someone say something that troubled you?",2
"Are you wearing underwear, and if so, how was he able to see your private area?",1
"Could you describe what you did to show him?",0
"Did you take your turn first, or did he, and can you describe what happens when he tells you not to talk about it?",1
"Could you describe in detail everything that happens from when it's your turn until he tells you to keep it a secret?",0
"Do you lower your underwear by yourself or does someone help you?",1
"Did you use your hands, or was something else involved?",1
"Can you continue telling me what happened after that moment?",0
"What happened after that?",0
"Did you mention something about that situation?",1
"Did you dislike anything about it?",1
"SO I'M HEARING YOUR STORY AND AM CURIOUS IF THERE'S SOMETHING SPECIFIC YOU WANT TO TELL ME?",2
"Did the rude incident happen when you were with someone?",1
"Can you share with me all the details you can recall about what happened?",0
"Did something unfortunate occur while you were with your brother?",2
"Were there any specific details you can share about what was occurring?",1
"Can you share with me all the details that you can recall?",0
"Were you jumping or just sitting when the bed was going up and down?",1
"Were you able to see what was going on?",1
"Can you think of anything else you might recall?",1
"Were you able to share some details about that?",1
"Did your brother hurt you in any way?",2
"Were there any other details about what happened next that you wanted to share with me?",1
"Alright, I understand it can be tough to recall everything, and I'm grateful for what you've told me, Millie. Would you mind if I asked a few questions about what you've shared?",1
"Did you mention who was making the bed move up and down?",1
"Was it Callum, and can you explain who Callum is?",1
"Did you want to share some details about what happened?",2
"Were there other people present in the room with the carer, and can you describe what was going on?",1
"WERE YOU ALONE WITH CALLUM?",1
"Did you say that it was painful, right?",1
"Did you discuss what occurred with anyone?",1
"Did you talk to someone, and if so, who was it?",1
"Did you talk to your mom recently, and can you recall when that conversation happened?",1
"Were you able to recall when that took place?",1
"So, was it the following day?",1
"Alright, and do you recall what took place prior to telling your mom?",1
"Were there any specific details from that incident you can recall?",1
"ALRIGHT, DO YOU RECALL IF THERE WAS ANYTHING ON TV WHILE YOU WERE HAVING BREAKFAST?",1
"When we talked earlier, you mentioned something happened with Callum involving the bed. Did he put something in your bottom?",1
"Did it hurt, and can you recall any noises or sights from that time?",1
"Were you able to talk about anything that happened before you went to bed?",1
"Did something happen that wasn't good while you were with your sibling?",2
"Alright, could you describe what happened at bedtime?",1
"Were you there when it happened, or did you hear about it later?",1
"Did someone do something wrong to you when you were with your brother?",2
"Could you share what took place after you got into bed?",0
"Did something unfortunate occur when your sibling was with you?",2
"Do you understand what being safe means?",1
"Are you able to explain what safety means to you?",1
"Would you say you know why it's important for me to talk to someone about what you mentioned?",1
"Are you able to explain the reason why?",1
"Is it alright if we pass on what you've shared, especially since it's crucial to talk to someone when kids are hurt?",1
"Do you think it would be okay if we talked again in case I have more questions for you?",1
"Would you be comfortable with me stepping out for a moment to talk with someone and then returning, and would you prefer I leave the door open or shut?",1
"Do you want me to keep it open so you can watch where I go?",1
"What would you like to discuss with me today?",0
"Did Janet's grandfather do something you want to talk about?",1
"Were you able to share what occurred during your most recent visit to Janet's house?",1
"Were you alone or with someone else when you were in the spa?",1
"Did you see what took place in that situation?",1
"Did something unpleasant occur when you were with your sibling?",2
"Did something unpleasant occur when you were with your sibling?",2
"Did you happen to be playing under the sprinkler with Janet?",2
"Could you describe what occurred after that?",0
"Can you describe what took place next?",0
"Alright, after he invited you to join him in the spa, can you describe everything that took place next?",0
"Did something happen to you that made you uncomfortable while you were with your brother?",2
"Could you describe what took place once you entered the spa with Janet and her grandfather?",0
"WHEN YOU WERE WITH YOUR BROTHER, DID SOMETHING HAPPEN THAT MADE YOU FEEL UNCOMFORTABLE?",2
"Could you describe what took place next?",0
"Can you describe what occurred following the feeling of a hand on your private parts?",0
"Can you describe what occurred after you relocated?",0
"Did Janet say something during that time?",1
"Was Janet's grandfather present while you were making the fairy bread, or was he somewhere else?",1
"Was he remaining outside?",1
"After preparing fairy bread with Janet, can you describe what you did next?",0
"Could you explain what occurred after your mom came to pick you up?",0
"When did you inform your mom about the incident?",1
"SO YOU MENTIONED TO HER BEFORE YOU WENT TO SLEEP ABOUT WHAT TOOK PLACE AT JANET'S PLACE?",2
"Was it then that you both chose to speak with someone else about what occurred?",1
"What would you like to share with me about why you're here today, Hilary?",0
"When you were at Janet's house, did something unfortunate occur?",2
"Could you describe Janet's house to me?",0
"Something bad happened then, didn't it?",2
"Would you rather stop going, or is there another reason you don’t want to continue?",1
"Do you dislike her for a particular reason?",1
"Could you describe the inappropriate incident?",0
"Can you describe what happened next after he behaved inappropriately?",0
"Did something happen while you were with your brother?",2
"Can you describe what happened after that?",0
"What did you experience following that event?",0
"When you visit Janet's house, is it only her dad there, or are there other people too?",1
"Is Janet the one present with you right now?",1
"Do you spend time in any particular rooms at Janet's house?",1
"Is something wrong that you'd like to share about your time with your brother?",2
"Is Pop usually present?",1
"Are there any other people who live there?",1
"When Pop behaves inappropriately, does anything specific happen that you can share with me?",1
"Are you usually in a specific place when Pop behaves inappropriately?",1
"Could you describe in detail everything that occurred from the beginning to the end when Pop behaved inappropriately?",0
"CAN YOU SHARE WITH ME EVERYTHING THAT OCCURRED FROM START TO FINISH WHEN GRANDPA WAS INAPPROPRIATE?",0
"Did something happen that made you upset while you were with your brother?",2
"Did your time with your brother result in something unfortunate occurring?",2
"What took place next?",0
"Can you describe what occurred next?",0
"When you were with your brother, did anything unfortunate occur?",2
"Can you tell me what occurred after that?",0
"Did something unpleasant happen while you were with your brother?",2
"Could you explain everything that occurred after the incident with your private parts?",0
"Did something happen that you didn't like when you were with your sibling?",2
"What occurred next in the sequence of events?",0
"Was it hard to be with your brother?",2
"Were you, Janet, and Pop all together in the pool while you were splashing around, Hilary?",1
"Did someone else touch you in a private area, and if so, can you recall who it was?",1
"Did you realize it was Pop right away, or was there something specific that made you sure?",1
"Alright Hilary, was this the only occasion you experienced Pop's hand on your private areas, or has it occurred previously?",1
"Did it hurt or feel strange when your grandpa touched you inappropriately for the first time?",1
"Did something happen while you were with your brother?",2
"What action did Pop take with his hand when it was resting on your swimsuit?",1
"AFTER HM-HM HELD ON TIGHTLY, CAN YOU DESCRIBE WHAT OCCURRED NEXT?",0
"Can you describe what happened next?",0
"Was your dad outside or somewhere else when you went inside?",1
"Was Janet nearby when Pop touched you inappropriately?",1
"Did Janet witness Pop touching you in private areas?",1
"Has your grandfather touched you inappropriately just once, or has it happened more than once?",1
"Has Janet ever mentioned to you about Pop touching private areas?",1
"Have you gone back to visit Janet's house recently, Hilary?",1
"Did something wrong happen when Pop touched your private areas?",2
"Did you play that game?",1
"What more can you share about the game?",0
"Could you describe everything that occurs when you're inside the tunnel?",0
"Can you describe what else goes on when you're in the tunnel?",0
"Can you describe that further, Isabelle?",0
"Can you describe what you didn't like and explain what happened afterward when he did that?",0
"Does he play games in the tunnel often or just occasionally?",1
"Did you play that game recently or was it a while ago?",1
"Were you able to tell what time it was?",1
"Were you playing with a stick in the tunnel during the game?",1
"Did he tell you where the stick came from?",1
"Does your brother speak to you or say anything when you're together?",1
"Was there anything you said to him while he was doing that?",1
"Did he use the stick in any other way, Isabelle, or can you explain what else happened with it?",1
"Would you mind sharing further details about that?",1
"Can you explain further what happened after that?",0
"What happened next after he did that?",0
"Could you describe what occurred next after that?",0
"Did something hurtful occur when you were with your sibling?",2
"Could you describe in detail what you did after arriving home?",0
"Did you spend time playing in your bedroom?",2
"Were you feeling upset or relieved when you rode home, Isabelle?",1
"When you went back home and mentioned playing in your room, did it still hurt?",1
"Were there any other people at home when you arrived?",1
"Did you head straight to your room once you arrived home and your mom was there?",1
"Were you in your room playing for a short time or a long time?",1
"Has your brother ever mentioned anything to you regarding this game you play with him often?",1
"Is there anything else he tells you when he's in the tunnel?",1
"What would you like to discuss with me today, Jessica?",0
"Is the bad man the one you're talking about?",1
"Was it at Kmart that you met the man who caused trouble?",1
"Were you inappropriately touched by him at Kmart? Can you begin by explaining everything that occurred with the man at Kmart?",1
"Can you start at the beginning and share everything that happened?",0
"DID YOU GO TO KMART WITH YOUR MOM AND BROTHER?",2
"Could you describe everything that happened next?",0
"Can you describe what occurred when you went to the bathroom?",0
"Was it the bad man who did something to you?",1
"Did you recognize the man who did something bad?",1
"Did that harmful person assist you in cleaning up?",1
"What occurred after the man helped you clean up?",0
"Could you describe everything that took place after he took off?",0
"Was there a woman in the bathroom and what actions did she take?",1
"Did you tell the lady anything specific?",1
"Did you say something to your mom when you saw her?",1
"Did you tell your mom about the man who was not nice?",1
"Did you let mom know about the bad man, and if so, when?",1
"Did you talk to mom about anything that happened at night?",1
"Did your mom say anything to you?",1
"Do you have anything more to share about the man?",1
"Is it true that you've already said everything you remember, and nothing else comes to mind right now?",2
"Are you aware of the reason for your presence here?",1
"Are you able to explain the reason for your visit today?",1
"Did you come here today to discuss something with me?",1
"Could you describe everything that happened to you?",0
"Would you like to share anything else with me?",1
"Was there anything specific he mentioned when that took place?",1
"Has he ever done this before, or was it the first time someone did it to you?",1
"Could you describe what happened next?",0
"Was anybody with you in the room, or were you by yourself?",1
"Did Janet do something, or did someone else?",1
"Did you inform anyone about what happened since she didn't see it?",1
"Did you speak with anyone?",1
"Did your mom mention something specifically?",1
"Did he ask you to keep it a secret when your friend's grandfather touched you?",1
"Did he touch you on your arm or your leg?",1
"Has anyone ever mentioned to you to inform your parents or someone else if someone touches your private area?",1
"Do you understand that?",1
"Did your friend's grandpa ask you not to talk about it?",1
"Can you describe in detail what he was doing with his hand when he touched you?",0
"Did he apply any lotion or instruct you to do something specific while he was touching you?",1
"Were you playing or doing something else when he touched you?",1
"Were you in the bath or somewhere else?",1
"Were you taking a bath?",1
"Alright, was he holding anything else in his hand, like lotion or cream?",1
"Did he ask you to do anything when he was touching you, or not?",1
"Did you feel it was an accident, or do you believe he did it on purpose?",1
"HE DELIBERATELY HURT YOU, DIDN'T HE?",2
"Were you aware of how he reacted once you exited the room—did he approach to apologize, say anything, or remain silent?",1
"Did he remain completely silent with you?",1
"Did someone mention that to you?",1
"Did you notice anyone at your friend's house involved in looking through magazines, watching movies, or discussing inappropriate things?",2
"Did you miss seeing it?",1
"Did it make you feel uncomfortable when your friend's grandfather touched you?",1
"Did you ask him to stop?",1
"Did he touch you here or somewhere else?",1
"Is it possible that you're upset because he laid hands on you?",1
"Do you believe that for a particular reason?",1
"Did a doctor ever examine you to find out if anything was wrong, so we could offer more help and support?",2
"What would you like to share with me about your visit today?",0
"Could you describe everything about your cousin to me?",0
"Did something happen when you were with your brother?",2
"Could you share more details about what happened?",0
"Can you describe in detail what occurred?",0
"Was there something concerning that happened when you were with your sibling?",2
"Can you describe everything that occurred when you got home from school with your cousin, as thoroughly as possible?",0
"Did something unpleasant occur when you were with your brother?",2
"Something unpleasant happened to you when you were with your brother, didn't it?",2
"Could you describe what took place after that?",0
"Did something unfortunate occur when you were with your brother?",2
"Can you describe anything else that took place?",0
"Can you describe everything else that took place?",0
"Did something wrong occur when you were with your sibling?",2
"Can you describe what occurred next?",0
"Was there an unfortunate event when you were with your sibling?",2
"Can you describe what occurred next?",0
"Did something unfortunate occur while you were with your sibling?",2
"Can you share more details about the time your cousin was causing you harm?",0
"Did your brother do something to hurt or upset you?",2
"Could you tell me more about what else took place?",0
"Did you say something happened to you?",2
"Did something happen to you when you were with your brother?",2
"Can you describe what happened next?",0
"Did something harmful occur when you were with your brother?",2
"Could you describe what took place after that?",0
"Was he using the stick to hurt your back or doing something else?",1
"Did your brother ever do something that upset you?",2
"Was there something wrong that took place when you were with your brother?",2
"Can you describe what happened next?",0
"Did somebody harm you when you were with your sibling?",2
"Could you describe what happened next?",0
"Did something unfortunate occur while you were with your brother?",2
"Could you explain in detail what you saw when there was blood on the stick?",0
"Did something bad happen to you when you were with your sibling?",2
"Did something happen to you when you were with your sibling that might have hurt you?",2
"Can you describe what occurred next?",0
"Did your brother do anything wrong to you?",2
"Could you describe what took place next?",0
"Did something wrong happen to you when you were with your sibling?",2
"Can you describe in detail what happened when everything became dark?",0
"Did something unfortunate happen to you while you were with your sibling?",2
"Can you describe what occurred next?",0
"When you were with your sibling, did something unpleasant occur?",2
"Can you describe in detail how you felt when you were afraid to leave the house?",0
"Did your brother do anything that upset you?",2
"Could you describe in detail the part when he spoke unkindly to you?",0
"Did something unpleasant occur when you were with your sibling?",2
"Can you describe anything more that took place?",0
"Did you stay there until your mother returned?",1
"Did something change when your mom returned home?",1
"Could you describe to me what occurred next?",0
"Did something unfortunate happen to you while you were with him?",2
"Could you describe what took place next?",0
"Did something happen when you were with your brother that was not right?",2
"Could you describe what occurred next?",0
"Were you hurt when you were spending time with your brother?",2
"Can you describe what happened next?",0
"What would you like to share with me today?",0
"Is Mr. Matthews someone you know?",1
"Is he your teacher this year or has he been teaching you longer?",1
"Are you in third or fourth grade now?",1
"Did you start attending this school right from your first year?",2
"Are you ready to share what you wanted to say about Mr. Matthews?",1
"Did you have to play a nasty game?",2
"Are there particular yucky games you play, and what do those games include?",1
